stop,tgt,hold,n,net,win,per
0.75,0.25,300,42,32.29,81.0,0.77
0.75,0.25,600,42,32.29,81.0,0.77
0.75,0.25,900,42,32.29,81.0,0.77
0.75,0.5,300,42,2.11,59.5,0.05
0.75,0.5,600,42,0.19,59.5,0.0
0.75,0.5,900,42,0.19,59.5,0.0
0.75,0.75,300,41,52.72,51.2,1.29
0.75,0.75,600,41,53.43,51.2,1.3
0.75,0.75,900,41,53.43,51.2,1.3
0.75,1.0,300,41,58.37,46.3,1.42
0.75,1.0,600,41,4.96,43.9,0.12
0.75,1.0,900,41,14.88,43.9,0.36
0.75,1.5,300,41,95.62,43.9,2.33
0.75,1.5,600,41,-191.03,29.3,-4.66
0.75,1.5,900,41,-293.04,26.8,-7.15
1.0,0.25,300,42,62.17,85.7,1.48
1.0,0.25,600,42,62.17,85.7,1.48
1.0,0.25,900,42,62.17,85.7,1.48
1.0,0.5,300,42,28.05,66.7,0.67
1.0,0.5,600,42,21.5,66.7,0.51
1.0,0.5,900,42,21.5,66.7,0.51
1.0,0.75,300,41,74.21,58.5,1.81
1.0,0.75,600,41,75.48,58.5,1.84
1.0,0.75,900,41,75.48,58.5,1.84
1.0,1.0,300,41,77.7,53.7,1.9
1.0,1.0,600,41,18.7,51.2,0.46
1.0,1.0,900,41,28.63,51.2,0.7
1.0,1.5,300,41,126.69,51.2,3.09
1.0,1.5,600,41,-219.4,34.1,-5.35
1.0,1.5,900,41,-395.19,31.7,-9.64
1.5,0.25,300,42,100.78,90.5,2.4
1.5,0.25,600,42,118.19,92.9,2.81
1.5,0.25,900,42,118.19,92.9,2.81
1.5,0.5,300,42,121.36,71.4,2.89
1.5,0.5,600,42,151.58,81.0,3.61
1.5,0.5,900,42,151.58,81.0,3.61
1.5,0.75,300,41,204.48,65.9,4.99
1.5,0.75,600,41,279.92,75.6,6.83
1.5,0.75,900,41,297.81,78.0,7.26
1.5,1.0,300,41,201.67,61.0,4.92
1.5,1.0,600,41,221.59,68.3,5.4
1.5,1.0,900,41,230.9,70.7,5.63
1.5,1.5,300,41,265.83,58.5,6.48
1.5,1.5,600,41,-7.16,48.8,-0.17
1.5,1.5,900,41,-179.35,48.8,-4.37
2.0,0.25,300,42,78.77,90.5,1.88
2.0,0.25,600,42,88.93,92.9,2.12
2.0,0.25,900,42,88.93,92.9,2.12
2.0,0.5,300,42,104.71,71.4,2.49
2.0,0.5,600,42,158.51,83.3,3.77
2.0,0.5,900,42,153.01,83.3,3.64
2.0,0.75,300,41,201.88,65.9,4.92
2.0,0.75,600,41,357.22,78.0,8.71
2.0,0.75,900,41,289.91,80.5,7.07
2.0,1.0,300,41,204.2,61.0,4.98
2.0,1.0,600,41,281.95,70.7,6.88
2.0,1.0,900,41,237.22,75.6,5.79
2.0,1.5,300,41,268.35,58.5,6.55
2.0,1.5,600,41,64.97,51.2,1.58
2.0,1.5,900,41,-170.26,53.7,-4.15
