wall,push,prog,flat,er,n,net,win,per,days
1.2,0.0,2.0,0.5,0.15,98,137.47,66.3,1.4,13
1.2,0.0,2.0,0.5,0.3,137,-52.17,65.7,-0.38,13
1.2,0.0,2.0,1.0,0.15,127,166.14,67.7,1.31,13
1.2,0.0,2.0,1.0,0.3,249,-61.48,66.3,-0.25,13
1.2,0.0,2.0,99.0,0.15,137,284.81,69.3,2.08,13
1.2,0.0,2.0,99.0,0.3,327,-214.32,66.1,-0.66,13
1.2,0.0,4.0,0.5,0.15,146,-160.46,64.4,-1.1,13
1.2,0.0,4.0,0.5,0.3,213,-555.28,62.4,-2.61,13
1.2,0.0,4.0,1.0,0.15,195,-335.31,65.1,-1.72,13
1.2,0.0,4.0,1.0,0.3,355,-894.58,63.9,-2.52,13
1.2,0.0,4.0,99.0,0.15,207,-211.06,66.2,-1.02,13
1.2,0.0,4.0,99.0,0.3,465,-1217.86,63.4,-2.62,13
1.2,0.05,2.0,0.5,0.15,66,84.03,66.7,1.27,12
1.2,0.05,2.0,0.5,0.3,91,212.74,69.2,2.34,13
1.2,0.05,2.0,1.0,0.15,86,346.03,72.1,4.02,13
1.2,0.05,2.0,1.0,0.3,168,410.01,70.2,2.44,13
1.2,0.05,2.0,99.0,0.15,95,452.61,73.7,4.76,13
1.2,0.05,2.0,99.0,0.3,225,265.57,68.4,1.18,13
1.2,0.05,4.0,0.5,0.15,108,-268.23,62.0,-2.48,13
1.2,0.05,4.0,0.5,0.3,151,-122.69,63.6,-0.81,13
1.2,0.05,4.0,1.0,0.15,148,-454.84,63.5,-3.07,13
1.2,0.05,4.0,1.0,0.3,265,-308.16,65.3,-1.16,13
1.2,0.05,4.0,99.0,0.15,161,-373.43,64.6,-2.32,13
1.2,0.05,4.0,99.0,0.3,352,-528.14,64.5,-1.5,13
1.2,0.1,2.0,0.5,0.15,36,23.92,63.9,0.66,11
1.2,0.1,2.0,0.5,0.3,49,68.72,65.3,1.4,12
1.2,0.1,2.0,1.0,0.15,47,132.99,70.2,2.83,12
1.2,0.1,2.0,1.0,0.3,98,-16.17,65.3,-0.16,13
1.2,0.1,2.0,99.0,0.15,55,215.91,72.7,3.93,12
1.2,0.1,2.0,99.0,0.3,133,-38.83,65.4,-0.29,13
1.2,0.1,4.0,0.5,0.15,68,-130.88,61.8,-1.92,13
1.2,0.1,4.0,0.5,0.3,98,-162.51,61.2,-1.66,13
1.2,0.1,4.0,1.0,0.15,92,-125.03,65.2,-1.36,13
1.2,0.1,4.0,1.0,0.3,173,-540.78,61.3,-3.13,13
1.2,0.1,4.0,99.0,0.15,102,-36.28,66.7,-0.36,13
1.2,0.1,4.0,99.0,0.3,224,-399.03,63.4,-1.78,13
1.5,0.0,2.0,0.5,0.15,41,231.43,70.7,5.64,12
1.5,0.0,2.0,0.5,0.3,56,379.46,73.2,6.78,13
1.5,0.0,2.0,1.0,0.15,56,333.33,73.2,5.95,13
1.5,0.0,2.0,1.0,0.3,109,543.59,73.4,4.99,13
1.5,0.0,2.0,99.0,0.15,59,321.81,72.9,5.45,13
1.5,0.0,2.0,99.0,0.3,148,399.49,70.9,2.7,13
1.5,0.0,4.0,0.5,0.15,69,-40.18,65.2,-0.58,13
1.5,0.0,4.0,0.5,0.3,98,-44.62,64.3,-0.46,13
1.5,0.0,4.0,1.0,0.15,96,-155.18,65.6,-1.62,13
1.5,0.0,4.0,1.0,0.3,184,-86.08,66.3,-0.47,13
1.5,0.0,4.0,99.0,0.15,102,-94.81,66.7,-0.93,13
1.5,0.0,4.0,99.0,0.3,245,-331.36,64.9,-1.35,13
1.5,0.05,2.0,0.5,0.15,28,146.46,71.4,5.23,11
1.5,0.05,2.0,0.5,0.3,41,279.92,75.6,6.83,13
1.5,0.05,2.0,1.0,0.15,37,225.86,73.0,6.1,13
1.5,0.05,2.0,1.0,0.3,73,361.5,74.0,4.95,13
1.5,0.05,2.0,99.0,0.15,39,258.41,74.4,6.63,13
1.5,0.05,2.0,99.0,0.3,102,428.92,73.5,4.21,13
1.5,0.05,4.0,0.5,0.15,54,-50.41,64.8,-0.93,12
1.5,0.05,4.0,0.5,0.3,75,115.94,68.0,1.55,13
1.5,0.05,4.0,1.0,0.15,74,-122.78,64.9,-1.66,13
1.5,0.05,4.0,1.0,0.3,134,19.26,67.2,0.14,13
1.5,0.05,4.0,99.0,0.15,80,-62.42,66.2,-0.78,13
1.5,0.05,4.0,99.0,0.3,181,52.79,67.4,0.29,13
1.5,0.1,2.0,0.5,0.15,15,127.82,73.3,8.52,9
1.5,0.1,2.0,0.5,0.3,22,100.65,68.2,4.58,11
1.5,0.1,2.0,1.0,0.15,20,128.87,75.0,6.44,12
1.5,0.1,2.0,1.0,0.3,45,98.03,71.1,2.18,12
1.5,0.1,2.0,99.0,0.15,21,137.76,76.2,6.56,12
1.5,0.1,2.0,99.0,0.3,57,141.06,71.9,2.47,12
1.5,0.1,4.0,0.5,0.15,32,68.01,65.6,2.13,10
1.5,0.1,4.0,0.5,0.3,44,-24.09,61.4,-0.55,11
1.5,0.1,4.0,1.0,0.15,46,106.79,69.6,2.32,12
1.5,0.1,4.0,1.0,0.3,89,-140.68,64.0,-1.58,13
1.5,0.1,4.0,99.0,0.15,47,115.67,70.2,2.46,12
1.5,0.1,4.0,99.0,0.3,113,-40.61,66.4,-0.36,13
2.0,0.0,2.0,0.5,0.15,9,-26.02,55.6,-2.89,6
2.0,0.0,2.0,0.5,0.3,12,-29.24,58.3,-2.44,7
2.0,0.0,2.0,1.0,0.15,11,-43.36,54.5,-3.94,7
2.0,0.0,2.0,1.0,0.3,23,85.29,73.9,3.71,11
2.0,0.0,2.0,99.0,0.15,12,-87.43,50.0,-7.29,7
2.0,0.0,2.0,99.0,0.3,36,32.92,69.4,0.91,12
2.0,0.0,4.0,0.5,0.15,20,-104.45,55.0,-5.22,10
2.0,0.0,4.0,0.5,0.3,25,-72.96,60.0,-2.92,12
2.0,0.0,4.0,1.0,0.15,26,-102.22,57.7,-3.93,11
2.0,0.0,4.0,1.0,0.3,50,74.43,70.0,1.49,13
2.0,0.0,4.0,99.0,0.15,27,-146.3,55.6,-5.42,11
2.0,0.0,4.0,99.0,0.3,71,55.73,69.0,0.78,13
2.0,0.05,2.0,0.5,0.15,8,-47.77,50.0,-5.97,5
2.0,0.05,2.0,0.5,0.3,11,-50.99,54.5,-4.64,6
2.0,0.05,2.0,1.0,0.15,8,-47.77,50.0,-5.97,5
2.0,0.05,2.0,1.0,0.3,19,14.12,68.4,0.74,10
2.0,0.05,2.0,99.0,0.15,8,-47.77,50.0,-5.97,5
2.0,0.05,2.0,99.0,0.3,29,24.53,69.0,0.85,10
2.0,0.05,4.0,0.5,0.15,17,-154.18,47.1,-9.07,8
2.0,0.05,4.0,0.5,0.3,22,-122.69,54.5,-5.58,10
2.0,0.05,4.0,1.0,0.15,21,-134.61,52.4,-6.41,9
2.0,0.05,4.0,1.0,0.3,41,-77.36,63.4,-1.89,12
2.0,0.05,4.0,99.0,0.15,21,-134.61,52.4,-6.41,9
2.0,0.05,4.0,99.0,0.3,57,-68.87,64.9,-1.21,12
2.0,0.1,2.0,0.5,0.15,3,3.46,66.7,1.15,3
2.0,0.1,2.0,0.5,0.3,6,-51.34,50.0,-8.56,5
2.0,0.1,2.0,1.0,0.15,3,3.46,66.7,1.15,3
2.0,0.1,2.0,1.0,0.3,11,22.65,72.7,2.06,7
2.0,0.1,2.0,99.0,0.15,3,3.46,66.7,1.15,3
2.0,0.1,2.0,99.0,0.3,16,16.21,68.8,1.01,9
2.0,0.1,4.0,0.5,0.15,9,-32.91,55.6,-3.66,7
2.0,0.1,4.0,0.5,0.3,13,-71.54,53.8,-5.5,8
2.0,0.1,4.0,1.0,0.15,12,11.04,66.7,0.92,8
2.0,0.1,4.0,1.0,0.3,25,-34.48,64.0,-1.38,11
2.0,0.1,4.0,99.0,0.15,12,11.04,66.7,0.92,8
2.0,0.1,4.0,99.0,0.3,34,-78.11,61.8,-2.3,11
