gate,side,qty,opened_at,closed_at,pnl_usd,fees_usd,exit_reason,ts,blk,net,day,regime,tod,atr,er
thrust,SHORT,1.0,2026-07-16T08:04:06.618875+00:00,2026-07-16T08:05:36.652470+00:00,-35.0,1.5,ABSORPTION_CUT,1784189046,1784188800,-35.0,2026-07-16,NORMAL-CHOP,ON,15.327083333333333,0.2714549303401573
thrust,SHORT,1.0,2026-07-16T08:11:06.250000+00:00,2026-07-16T08:11:49.322722+00:00,-2.0,1.5,ABSORPTION_CUT,1784189466,1784188800,-2.0,2026-07-16,NORMAL-CHOP,ON,15.327083333333333,0.2714549303401573
thrust,SHORT,1.0,2026-07-16T08:11:50.283392+00:00,2026-07-16T08:13:08.443726+00:00,16.0,1.5,ABSORPTION_CUT,1784189510,1784188800,16.0,2026-07-16,NORMAL-CHOP,ON,15.327083333333333,0.2714549303401573
thrust,LONG,1.0,2026-07-16T08:48:05.648303+00:00,2026-07-16T08:54:13.158594+00:00,-4.0,1.5,ABSORPTION_CUT,1784191685,1784190600,-4.0,2026-07-16,NORMAL-CHOP,ON,13.435,0.2295042153728162
thrust,SHORT,1.0,2026-07-16T09:59:51.826316+00:00,2026-07-16T10:03:15.144879+00:00,13.0,1.5,ABSORPTION_CUT,1784195991,1784194200,13.0,2026-07-16,NORMAL-CHOP,ON,10.580416666666668,0.2438979713245777
thrust,SHORT,1.0,2026-07-16T11:01:51.117434+00:00,2026-07-16T11:02:12.206711+00:00,-5.0,1.5,ABSORPTION_CUT,1784199711,1784199600,-5.0,2026-07-16,NORMAL-CHOP,ON,13.48375,0.2536589892981613
thrust,SHORT,1.0,2026-07-16T11:03:00.291588+00:00,2026-07-16T11:03:42.367451+00:00,-13.5,1.5,ABSORPTION_CUT,1784199780,1784199600,-13.5,2026-07-16,NORMAL-CHOP,ON,13.48375,0.2536589892981613
thrust,SHORT,1.0,2026-07-16T11:17:51.744894+00:00,2026-07-16T11:19:34.922717+00:00,14.5,1.5,ABSORPTION_CUT,1784200671,1784199600,14.5,2026-07-16,NORMAL-CHOP,ON,13.48375,0.2536589892981613
thrust,LONG,1.0,2026-07-16T11:24:51.374627+00:00,2026-07-16T11:25:44.454000+00:00,-8.0,1.5,ABSORPTION_CUT,1784201091,1784199600,-8.0,2026-07-16,NORMAL-CHOP,ON,13.48375,0.2536589892981613
thrust,SHORT,1.0,2026-07-16T11:32:51.188949+00:00,2026-07-16T11:32:52.182480+00:00,-0.5,1.5,ABSORPTION_CUT,1784201571,1784201400,-0.5,2026-07-16,VIOLENT-WHIPSAW,ON,15.894166666666669,0.13988177464405
