cand,stop,tgt,n,net,win,per,days,stops,tgts,times
CT-1 FLATLINE,1.0,0.5,664,-1728.47,64.8,-2.6,13,232,430,2
CT-1 FLATLINE,1.0,1.0,587,-1695.48,48.2,-2.89,13,292,278,17
CT-1 FLATLINE,0.75,0.75,634,-1384.07,48.4,-2.18,13,325,306,3
CT-1 FLATLINE,1.5,0.75,597,-1494.86,64.5,-2.5,13,187,373,37
CT-2 THINWALL,1.0,0.5,530,-1824.3,64.2,-3.44,13,188,340,2
CT-2 THINWALL,1.0,1.0,484,-1920.9,47.3,-3.97,13,247,222,15
CT-2 THINWALL,0.75,0.75,513,-1686.91,47.8,-3.29,13,265,245,3
CT-2 THINWALL,1.5,0.75,485,-2368.56,62.5,-4.88,13,162,299,24
CT-3 EXHAUST-CT,1.0,0.5,42,21.5,66.7,0.51,13,14,28,0
CT-3 EXHAUST-CT,1.0,1.0,41,18.7,51.2,0.46,13,20,20,1
CT-3 EXHAUST-CT,0.75,0.75,41,53.43,51.2,1.3,13,20,21,0
CT-3 EXHAUST-CT,1.5,0.75,41,279.92,75.6,6.83,13,9,31,1
CT-4 PUSHFADE,1.0,0.5,803,-2182.29,64.3,-2.72,13,286,516,1
CT-4 PUSHFADE,1.0,1.0,697,-2012.32,49.4,-2.89,13,349,338,10
CT-4 PUSHFADE,0.75,0.75,783,-2079.02,48.1,-2.66,13,405,375,3
CT-4 PUSHFADE,1.5,0.75,686,-823.01,65.7,-1.2,13,212,444,30
CT-5 DEPLETE,1.0,0.5,537,-1428.14,65.4,-2.66,13,185,351,1
CT-5 DEPLETE,1.0,1.0,485,-1618.23,47.8,-3.34,13,245,225,15
CT-5 DEPLETE,0.75,0.75,516,-1332.57,48.3,-2.58,13,264,247,5
CT-5 DEPLETE,1.5,0.75,487,-1809.2,62.8,-3.71,13,157,299,31
CT-6 THINWALL+PUSH,1.0,0.5,123,-53.98,70.7,-0.44,13,36,87,0
CT-6 THINWALL+PUSH,1.0,1.0,123,-283.47,48.8,-2.3,13,60,58,5
CT-6 THINWALL+PUSH,0.75,0.75,125,-67.29,54.4,-0.54,13,57,68,0
CT-6 THINWALL+PUSH,1.5,0.75,123,43.1,69.9,0.35,13,33,85,5
