t,open,high,low,close,volume,dlt,tvol,nticks,bid5,ask5,bid10,ask10,bid1s,ask1s,bid1p,ask1p,nsnap,atr20,er30,vwap30,hi30,lo30,hi60,lo60,dlt30s,dlt60s,tvol60s,tvol30m,mv30s,mv60s,dbid5_30s,dask5_30s,bid5_5m,ask5_5m,vwap30_10m,pos30,rng_atr,vslope,stretch,bkr_ask,bkr_bid,dask_n,dbid_n,dlt_n,absorb,at,day,hit,secs,revert,cont,farwall,far_refill,push,prog,vs_help,vs_flat,chop,tod
1784161905,29669.75,29670.0,29661.5,29662.5,121.0,31.0,93.0,49,25.0,23.0,61.0,51.0,4.0,1.0,29662.25,29662.75,20,16.9375,0.07326355851569934,29712.013886616493,29765.25,29657.0,29765.25,29657.0,13.0,173.0,1749.0,48856.0,-12.75,-8.0,-6.0,-1.0,27.35,29.316666666666666,29725.01417148233,0.050808314087759814,6.391143911439114,-0.7675444939239483,-2.92332909912871,0.92,1.0869565217391304,-0.03411028993746447,-0.21937842778793418,0.0989136649514008,19.22222222222222,LOW,2026-07-16,UP,110.42499995231628,True,False,1.0869565217391304,-0.21937842778793418,-0.0989136649514008,8.0,-0.7675444939239483,0.7675444939239483,chop,ON
1784161965,29657.5,29658.5,29654.75,29655.25,61.0,-5.0,58.0,28,30.0,34.0,70.0,61.0,2.0,5.0,29655.5,29656.25,20,17.625,0.23466407010710807,29709.08209323833,29765.25,29653.5,29765.25,29653.5,37.0,81.0,1645.0,47580.0,-0.75,-7.25,4.0,7.0,28.1,28.35,29724.164173166722,0.015659955257270694,6.340425531914893,-0.8557208470010664,-3.054303162458356,1.1333333333333333,0.8823529411764706,0.24691358024691357,0.14234875444839856,0.049240121580547115,9.818181818181818,LOW,2026-07-16,UP,33.503000020980835,True,False,0.8823529411764706,0.14234875444839856,-0.049240121580547115,7.25,-0.8557208470010664,0.8557208470010664,chop,ON
1784162210,29666.0,29666.0,29662.0,29662.75,128.0,-6.0,134.0,78,29.0,31.0,47.0,79.0,3.0,2.0,29662.5,29663.25,20,17.6125,0.18403115871470302,29701.28866116441,29765.25,29653.0,29765.25,29653.0,-243.0,-222.0,1628.0,47003.0,-19.0,-20.25,6.0,9.0,29.55,27.566666666666666,29721.51111796673,0.08685968819599109,6.373314407381121,-1.1481877531480118,-2.1881425785328523,1.0689655172413792,0.9354838709677419,0.3264812575574365,0.20304568527918782,-0.13636363636363635,10.447058823529412,LOW,2026-07-16,DN,190.95700001716614,False,True,0.9354838709677419,0.20304568527918782,0.13636363636363635,20.25,-1.1481877531480118,1.1481877531480118,chop,ON
1784162270,29660.75,29661.5,29658.25,29659.5,99.0,-36.0,109.0,62,29.0,35.0,71.0,76.0,4.0,4.0,29659.5,29660.25,19,17.725,0.22693726937269373,29699.693097452746,29765.25,29653.0,29765.25,29653.0,-71.0,65.0,1136.0,46888.0,-10.25,-3.25,2.0,10.0,29.016666666666666,27.766666666666666,29717.707190580502,0.05790645879732739,6.332863187588152,-1.0163099084770941,-2.26759365036648,1.206896551724138,0.8285714285714286,0.36014405762304924,0.06892590465249857,0.05721830985915493,15.294117647058824,LOW,2026-07-16,DN,153.38299989700317,False,True,0.8285714285714286,0.06892590465249857,-0.05721830985915493,3.25,-1.0163099084770941,1.0163099084770941,chop,ON
1784162330,29657.25,29658.5,29656.5,29657.5,29.0,-8.0,31.0,24,38.0,29.0,79.0,65.0,4.0,2.0,29657.0,29657.5,20,17.8,0.2340036563071298,29698.280575345423,29765.25,29653.0,29765.25,29653.0,-68.0,-20.0,736.0,46322.0,-8.0,-2.0,-2.0,5.0,28.683333333333334,28.116666666666667,29716.276710104634,0.0400890868596882,6.306179775280898,-1.0110188066972297,-2.2910435587316367,0.7631578947368421,1.3103448275862069,0.17783046828689983,-0.06972690296339337,-0.02717391304347826,6.666666666666667,LOW,2026-07-16,DN,93.89800000190735,False,True,1.3103448275862069,-0.06972690296339337,0.02717391304347826,2.0,-1.0110188066972297,1.0110188066972297,chop,ON
1784162390,29657.75,29657.75,29652.0,29654.25,104.0,-15.0,108.0,59,32.0,26.0,68.0,56.0,7.0,3.0,29653.75,29654.25,17,17.7625,0.26523297491039427,29696.092305030495,29765.25,29650.75,29765.25,29650.75,21.0,-7.0,1222.0,46238.0,-1.5,-3.25,4.0,-11.0,29.083333333333332,27.916666666666668,29714.914469222073,0.03056768558951965,6.446164672765658,-1.0596573788361454,-2.355654048163011,0.8125,1.2307692307692308,-0.3940298507462686,0.13753581661891118,-0.0057283142389525366,1.6470588235294117,LOW,2026-07-16,DN,108.09599995613098,False,True,1.2307692307692308,0.13753581661891118,0.0057283142389525366,3.25,-1.0596573788361454,1.0596573788361454,chop,ON
1784162450,29647.0,29649.0,29645.25,29645.5,77.0,-3.0,93.0,54,30.0,26.0,89.0,78.0,4.0,1.0,29645.0,29645.5,18,17.6125,0.28014505893019037,29693.72160031408,29765.25,29643.0,29765.25,29643.0,-5.0,-167.0,1724.0,47129.0,-4.75,-8.75,-6.0,-8.0,30.133333333333333,29.166666666666668,29713.35392465475,0.02044989775051125,6.941092973740241,-1.1146812968444697,-2.7379191093869912,0.8666666666666667,1.1538461538461537,-0.2742857142857143,-0.19911504424778761,-0.0968677494199536,17.128205128205128,LOW,2026-07-16,DN,124.34899997711182,False,True,1.1538461538461537,-0.19911504424778761,0.0968677494199536,8.75,-1.1146812968444697,1.1146812968444697,chop,ON
1784162510,29646.75,29646.75,29645.5,29646.25,16.0,-7.0,24.0,18,34.0,35.0,70.0,70.0,6.0,4.0,29645.25,29646.0,16,17.25,0.29170383586083853,29692.23466483205,29765.25,29639.75,29765.25,29639.75,-149.0,-87.0,1044.0,47608.0,-2.25,0.75,5.0,7.0,30.733333333333334,29.216666666666665,29711.725622924434,0.05179282868525897,7.27536231884058,-1.1299106140513027,-2.6657776714231316,1.0294117647058822,0.9714285714285714,0.23958927552766687,0.16268980477223427,-0.08333333333333333,49.714285714285715,LOW,2026-07-16,DN,60.092000007629395,False,True,0.9714285714285714,0.16268980477223427,0.08333333333333333,-0.75,-1.1299106140513027,1.1299106140513027,chop,ON
1784162570,29636.5,29636.75,29633.25,29634.0,191.0,-80.0,170.0,94,37.0,32.0,75.0,60.0,1.0,4.0,29633.75,29634.25,19,17.1375,0.2973451327433628,29690.195002097757,29765.25,29633.25,29765.25,29633.25,-39.0,-92.0,1074.0,47647.0,-2.75,-12.25,1.0,11.0,31.55,29.366666666666667,29708.945839907436,0.005681818181818182,7.702407002188184,-1.094140791228538,-3.279066497316208,0.8648648648648649,1.15625,0.3745743473325766,0.03169572107765452,-0.0856610800744879,6.943396226415095,LOW,2026-07-16,UP,276.00300002098083,True,False,1.15625,0.03169572107765452,0.0856610800744879,12.25,-1.094140791228538,1.094140791228538,chop,ON
1784162630,29635.0,29636.5,29634.0,29634.75,68.0,14.0,72.0,41,26.0,29.0,63.0,62.0,1.0,2.0,29634.0,29634.5,19,17.175,0.3401709401709402,29686.276915146544,29765.25,29627.25,29765.25,29627.25,71.0,189.0,1665.0,47569.0,-0.25,0.75,3.0,5.0,31.816666666666666,29.2,29706.35107562416,0.05434782608695652,8.034934497816593,-1.168801192292041,-3.000111507804577,1.1153846153846154,0.896551724137931,0.17123287671232876,0.09429020429544265,0.11351351351351352,108.0,LOW,2026-07-16,UP,216.50500011444092,True,False,0.896551724137931,0.09429020429544265,-0.11351351351351352,-0.75,-1.168801192292041,1.168801192292041,trend,ON
