blk,day,n,atr,er,rng,lo,vol,brk,brkd,c0,c1,range_pt,net_pt,rt,brk_any,hour,minute,tod,regime
1784161800,2026-07-16,30,16.660416666666666,0.2251022046739895,29696.25,29622.25,40155.0,0,1,29675.5,29652.0,74.0,-23.5,4.441665624609229,1,0,30,ON,VIOLENT-WHIPSAW
1784163600,2026-07-16,30,15.339583333333334,0.127811429710616,29669.0,29601.75,33285.0,0,1,29654.25,29605.5,67.25,-48.75,4.384082575037349,1,1,0,ON,VIOLENT-WHIPSAW
1784165400,2026-07-16,30,14.193333333333333,0.18873518541644257,29686.5,29593.5,36767.0,0,1,29608.75,29650.75,93.0,42.0,6.552372005636449,1,1,30,ON,NORMAL-CHOP
1784167200,2026-07-16,30,12.945,0.0781833922838239,29706.25,29620.0,26739.0,1,0,29642.5,29696.25,86.25,53.75,6.662804171494786,1,2,0,ON,NORMAL-CHOP
1784169000,2026-07-16,30,10.729999999999999,0.3364344340198467,29735.75,29672.0,22930.0,1,0,29694.5,29727.25,63.75,32.75,5.941286113699907,1,2,30,ON,BUILDING
1784170800,2026-07-16,30,8.6,0.2710295553284576,29752.5,29710.0,18948.0,1,0,29725.25,29716.75,42.5,-8.5,4.941860465116279,1,3,0,ON,NORMAL-CHOP
1784172600,2026-07-16,30,10.01,0.10216076836494886,29746.75,29705.75,16976.0,0,0,29734.25,29744.0,41.0,9.75,4.095904095904096,0,3,30,ON,DEAD-CHOP
1784174400,2026-07-16,30,9.14375,0.08482861471747531,29756.0,29710.0,15814.0,1,0,29745.5,29715.75,46.0,-29.75,5.030758714969241,1,4,0,ON,DEAD-CHOP
1784176200,2026-07-16,30,7.380833333333333,0.18318838081613686,29721.25,29695.75,10439.0,0,0,29714.75,29708.75,25.5,-6.0,3.45489443378119,0,4,30,ON,DEAD-CHOP
1784178000,2026-07-16,30,9.621666666666666,0.21470540829814733,29776.0,29697.25,21088.0,1,0,29716.75,29766.25,78.75,49.5,8.184652693573533,1,5,0,ON,DEAD-CHOP
1784179800,2026-07-16,30,15.927083333333334,0.18715352484620607,29796.5,29667.0,32410.0,1,1,29781.75,29687.0,129.5,-94.75,8.13080444735121,1,5,30,ON,VIOLENT-WHIPSAW
1784181600,2026-07-16,30,18.326666666666664,0.0921902413603926,29748.75,29646.0,36704.0,0,1,29725.75,29685.5,102.75,-40.25,5.606584212440889,1,6,0,ON,VIOLENT-WHIPSAW
1784183400,2026-07-16,30,11.819583333333332,0.18300904961422734,29697.25,29642.25,16360.0,0,1,29689.25,29685.25,55.0,-4.0,4.653294320865795,1,6,30,ON,NORMAL-CHOP
1784185200,2026-07-16,30,11.97625,0.21563746955391,29686.75,29612.0,21324.0,0,1,29649.0,29622.25,74.75,-26.75,6.241519674355495,1,7,0,ON,NORMAL-CHOP
1784187000,2026-07-16,30,11.44375,0.3680077367341682,29630.25,29548.5,23246.0,0,1,29624.5,29563.25,81.75,-61.25,7.143637356635718,1,7,30,ON,BUILDING
1784188800,2026-07-16,30,15.327083333333333,0.2714549303401573,29572.75,29478.0,32864.0,0,1,29559.0,29538.75,94.75,-20.25,6.181867609079788,1,8,0,ON,NORMAL-CHOP
1784190600,2026-07-16,30,13.435,0.22950421537281623,29595.75,29528.5,18384.0,0,0,29540.0,29591.25,67.25,51.25,5.005582433941198,0,8,30,ON,NORMAL-CHOP
1784192400,2026-07-16,30,11.003333333333334,0.2921767980799053,29644.75,29591.75,17998.0,0,0,29617.25,29613.5,53.0,-3.75,4.816722205392305,0,9,0,ON,NORMAL-CHOP
