ts,flow,vol,nt,hi,lo,close,open,day,hour,hhmm,fz,flow_ratio,seg,atr15,ext15,er15,rvol,atr_pct,fwd5,up5,dn5,fwd10,up10,dn10,fwd15,up15,dn15,fwd30,up30,dn30
1783288800,702.0,3568.0,2291,29980.0,29904.0,29910.0,29936.75,2026-07-05,22,22:00,,0.19674887892376683,1,,,,,,,,,,,,,,,,,
1783288860,-66.0,2033.0,1221,29925.25,29909.75,29918.5,29913.0,2026-07-05,22,22:01,,-0.03246433841613379,1,,,,,,,18.75,58.0,,18.75,58.0,,22.75,58.0,,40.5,58.0
1783289160,1879.0,1944.0,1192,29937.25,29883.0,29916.5,29916.5,2026-07-05,22,22:06,,0.9665637860082305,2,,,,,,-29.25,-19.5,56.0,-1.5,7.0,56.0,11.0,24.75,56.0,39.0,55.0,56.0
1783289220,-287.0,572.0,354,29895.75,29883.0,29893.75,29886.25,2026-07-05,22,22:07,,-0.5017482517482518,2,,,,,,-4.5,6.25,33.25,16.75,29.75,33.25,45.25,54.0,33.25,70.75,77.75,33.25
1783289280,237.0,1799.0,1215,29897.0,29860.5,29875.5,29894.5,2026-07-05,22,22:08,,0.13173985547526404,2,,,,,,21.5,24.5,0.5,19.25,48.0,0.5,54.75,72.5,0.5,89.75,96.0,0.5
1783289340,-36.0,902.0,538,29886.5,29875.0,29881.5,29877.5,2026-07-05,22,22:09,,-0.03991130820399113,2,,,,,,19.0,20.75,6.0,20.75,42.0,6.0,54.75,66.5,6.0,79.75,90.0,6.0
1783289400,161.0,763.0,455,29886.25,29875.5,29881.75,29881.25,2026-07-05,22,22:10,,0.21100917431192662,2,,,,,,16.5,20.5,2.5,49.5,59.5,2.5,47.5,66.25,2.5,81.75,89.75,2.5
1783289460,105.0,950.0,548,29891.25,29879.25,29887.25,29882.25,2026-07-05,22,22:11,,0.11052631578947368,2,,,,,,27.75,36.25,4.25,40.25,54.0,4.25,37.0,60.75,4.25,78.5,84.25,4.25
1783289520,-6.0,1285.0,731,29900.0,29883.0,29889.25,29888.25,2026-07-05,22,22:12,,-0.004669260700389105,2,,,,,,21.25,34.25,3.5,49.75,58.5,3.5,36.5,58.75,3.5,77.5,85.75,3.5
1783289580,-6.0,790.0,442,29897.5,29885.75,29897.0,29888.5,2026-07-05,22,22:13,,-0.007594936708860759,2,,,,,,-2.25,26.5,9.0,33.25,51.0,10.75,43.75,51.0,10.75,71.5,78.0,10.75
1783289640,17.0,952.0,556,29902.25,29892.75,29900.5,29896.5,2026-07-05,22,22:14,,0.017857142857142856,2,,,,,,1.75,23.0,14.25,35.75,47.5,14.25,34.75,47.5,14.25,70.0,74.5,14.25
1783289700,-32.0,523.0,341,29901.0,29894.75,29898.25,29900.25,2026-07-05,22,22:15,,-0.06118546845124283,2,,,,,,33.0,43.0,12.0,31.0,49.75,12.0,40.0,49.75,12.0,74.5,78.5,12.0
1783289760,563.0,2045.0,1166,29923.5,29889.75,29915.0,29898.5,2026-07-05,22,22:16,,0.27530562347188264,2,,,,,,12.5,26.25,28.75,9.25,33.0,28.75,31.75,35.0,28.75,59.0,63.5,28.75
1783289820,-44.0,1038.0,602,29917.5,29907.5,29910.5,29915.75,2026-07-05,22,22:17,,-0.04238921001926782,2,,,,,,28.5,37.25,24.25,15.25,37.5,24.25,45.5,46.75,24.25,65.5,68.5,24.25
1783289880,-96.0,1397.0,771,29912.75,29888.0,29894.75,29910.5,2026-07-05,22,22:18,,-0.06871868289191124,2,,,,,,35.5,53.25,8.5,46.0,53.25,8.5,56.0,64.25,8.5,76.25,84.25,8.5
1783289940,202.0,1353.0,773,29914.5,29886.25,29902.25,29894.5,2026-07-05,22,22:19,,0.14929785661492978,2,,,,,,34.0,45.75,0.25,33.0,45.75,0.25,50.5,56.75,0.25,66.5,76.75,0.25
1783290000,453.0,2687.0,1527,29941.25,29902.0,29931.25,29903.5,2026-07-05,22,22:20,,0.16858950502419054,2,21.216666666666665,,,,0.0007088466624904294,-2.0,16.75,7.75,7.0,16.75,11.0,15.5,27.75,11.0,34.25,47.75,11.0
1783290060,-7.0,1035.0,633,29933.25,29923.5,29927.5,29931.25,2026-07-05,22,22:21,,-0.00676328502415459,2,18.25,11.0,0.07560137457044673,,0.0006098070336646897,-3.25,20.5,7.25,19.25,22.5,7.25,28.0,44.0,7.25,35.5,51.5,7.25
1783290120,139.0,1679.0,959,29947.75,29926.5,29939.0,29927.5,2026-07-05,22,22:22,,0.08278737343656939,2,18.816666666666666,45.25,0.3370577281191806,,0.0006285001725731209,-13.25,9.0,18.75,17.0,18.25,18.75,25.5,32.5,18.75,19.5,40.0,18.75
