ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783293000,2026-07-05,-1,9.366666666666667,0.3361702127659574,-2.5644496982825906,BUILDING,OVERNIGHT,-19.75,9.366666666666667,18.733333333333334,29931.0,29940.75,-9.75,-21.0,STOP,1.1,2.25
1783296000,2026-07-06,-1,15.25,0.2415349887133182,-2.785634804127876,BUILDING,OVERNIGHT,-26.75,15.25,30.5,29947.25,29916.75,30.5,59.5,TARGET,0.9,102.25
1783296600,2026-07-06,-1,22.03333333333333,0.1958456973293768,-1.8473318625257016,VIOLENT-WHIPSAW,OVERNIGHT,-33.0,22.03333333333333,44.06666666666666,29955.0,29977.5,-22.5,-46.5,STOP,3.0,110.0
1783296900,2026-07-06,1,21.3,0.3323485967503692,1.5353544456118549,BUILDING,OVERNIGHT,56.25,21.3,42.6,30001.5,29979.75,-21.75,-45.0,STOP,3.7,3.0
1783297560,2026-07-06,-1,16.383333333333333,0.1908396946564885,-1.9271256626724835,VIOLENT-WHIPSAW,OVERNIGHT,-25.0,16.383333333333333,32.766666666666666,29928.75,29895.98,32.77,64.03,TARGET,2.8,83.75
1783297860,2026-07-06,-1,21.58333333333333,0.7623400365630713,-2.880866123972339,CLEAN-TREND,OVERNIGHT,-104.25,21.58333333333333,43.16666666666666,29892.5,29914.5,-22.0,-45.5,STOP,5.1,17.5
1783299180,2026-07-06,1,15.383333333333333,0.1111111111111111,2.7497722531195934,VIOLENT-WHIPSAW,OVERNIGHT,14.75,15.383333333333333,30.766666666666666,29937.25,29921.5,-15.75,-33.0,STOP,3.7,14.75
1783301160,2026-07-06,-1,19.116666666666667,0.4975206611570248,-2.787290612763065,CLEAN-TREND,OVERNIGHT,-75.25,19.116666666666667,38.233333333333334,29797.25,29816.75,-19.5,-40.5,STOP,3.0,46.5
1783304340,2026-07-06,-1,18.3,0.5424836601307189,-3.590106964048836,CLEAN-TREND,OVERNIGHT,-62.25,18.3,36.6,29755.5,29774.25,-18.75,-39.0,STOP,0.7,62.5
1783306260,2026-07-06,-1,15.166666666666666,0.3767441860465116,-2.620140402191993,BUILDING,OVERNIGHT,-40.5,15.166666666666666,30.333333333333332,29697.75,29713.25,-15.5,-32.5,STOP,2.4,5.75
1783307400,2026-07-06,1,13.2,0.5308641975308642,1.9251231365601371,CLEAN-TREND,OVERNIGHT,53.75,13.2,26.4,29774.5,29760.75,-13.75,-29.0,STOP,2.1,32.0
1783309920,2026-07-06,-1,15.766666666666667,0.5904059040590406,-1.5515655209092265,CLEAN-TREND,OVERNIGHT,-80.0,15.766666666666667,31.533333333333335,29718.5,29738.75,-20.25,-42.0,STOP,12.8,24.75
1783311540,2026-07-06,1,9.683333333333334,0.5555555555555556,10.336879791879168,BUILDING,OVERNIGHT,61.25,9.683333333333334,19.366666666666667,29791.5,29781.5,-10.0,-21.5,STOP,7.8,44.25
1783315260,2026-07-06,-1,7.733333333333333,0.2931726907630522,-1.508695183257132,BUILDING,OVERNIGHT,-18.25,7.733333333333333,15.466666666666667,29789.25,29773.78,15.47,29.43,TARGET,7.5,36.75
1783316580,2026-07-06,1,11.316666666666666,0.1123595505617977,2.43433459683958,NORMAL-CHOP,OVERNIGHT,10.0,11.316666666666666,22.633333333333333,29792.25,29780.5,-11.75,-25.0,STOP,2.1,15.75
1783319700,2026-07-06,1,10.183333333333334,0.647887323943662,5.123459797015366,BUILDING,OVERNIGHT,69.0,10.183333333333334,20.366666666666667,29829.25,29849.62,20.37,39.23,TARGET,4.5,31.75
1783323780,2026-07-06,1,7.15,0.4193548387096774,2.5730995100019136,BUILDING,PRE-OPEN,32.5,7.15,14.3,29867.5,29860.0,-7.5,-16.5,STOP,9.6,13.75
1783324800,2026-07-06,-1,5.083333333333333,0.2108108108108108,-5.5451850373459335,BUILDING,PRE-OPEN,-9.75,5.083333333333333,10.166666666666666,29860.75,29868.75,-8.0,-17.5,STOP,0.0,68.5
1783327080,2026-07-06,1,6.433333333333334,0.1078431372549019,2.3303168543039874,DEAD-CHOP,PRE-OPEN,5.5,6.433333333333334,12.866666666666667,29816.5,29829.37,12.87,24.23,TARGET,0.9,55.0
1783327920,2026-07-06,1,6.85,0.6190476190476191,2.272150209905728,BUILDING,PRE-OPEN,35.75,6.85,13.7,29851.5,29865.2,13.7,25.9,TARGET,2.3,20.0
1783337520,2026-07-06,1,11.033333333333331,0.3293413173652694,1.738910074219249,BUILDING,PRE-OPEN,27.5,11.033333333333331,22.066666666666663,29895.75,29884.25,-11.5,-24.5,STOP,5.1,14.75
1783339380,2026-07-06,1,6.8,0.2037617554858934,7.714437152251687,BUILDING,PRE-OPEN,16.25,6.8,13.6,29906.75,29920.35,13.6,25.7,TARGET,4.5,29.5
1783340640,2026-07-06,-1,8.8,0.5,-2.5168572233946764,BUILDING,PRE-OPEN,-38.0,8.8,17.6,29880.5,29889.75,-9.25,-20.0,STOP,1.9,1.5
