ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783344780,2026-07-06,-1,27.916666666666668,0.38787023977433,-3.1990658744630043,BUILDING,US,68.75,27.916666666666668,55.833333333333336,29906.0,29934.25,-28.25,-58.0,STOP,0.8,120.0
1783344900,2026-07-06,-1,31.816666666666663,0.3073286052009456,-3.856804915744988,BUILDING,US,65.0,31.816666666666663,63.633333333333326,29901.0,29837.37,63.63,125.77,TARGET,0.5,115.0
1783345140,2026-07-06,1,50.38333333333333,0.1481246026700572,5.847158120156234,VIOLENT-WHIPSAW,US,58.25,50.38333333333333,100.76666666666667,29897.5,29846.75,-50.75,-103.0,STOP,2.5,111.0
1783345500,2026-07-06,1,56.55,0.2036441586280814,3.083093487957546,BUILDING,US,95.0,56.55,113.1,29955.25,29898.25,-57.0,-115.5,STOP,1.0,77.0
1783345980,2026-07-06,-1,49.5,0.3436979455857856,-3.730150006834783,BUILDING,US,154.75,49.5,99.0,29971.0,30020.75,-49.75,-101.0,STOP,19.9,69.0
1783430700,2026-07-07,-1,14.3,0.42997542997543,-5.177793207139026,CLEAN-TREND,PRE-OPEN,-43.75,14.3,28.6,29591.75,29606.5,-14.75,-31.0,STOP,3.2,165.75
1783431000,2026-07-07,1,20.75,0.0267175572519083,9.869371081686603,VIOLENT-WHIPSAW,US,3.5,20.75,41.5,29635.0,29614.0,-21.0,-43.5,STOP,0.4,26.75
1783431120,2026-07-07,-1,27.78333333333333,0.062111801242236,-6.537807750613098,VIOLENT-WHIPSAW,US,-10.0,27.78333333333333,55.56666666666666,29608.25,29552.68,55.57,109.63,TARGET,0.8,188.0
1783431240,2026-07-07,-1,33.63333333333333,0.4044823906083244,-3.5035882620157683,CLEAN-TREND,US,-94.75,33.63333333333333,67.26666666666667,29529.0,29563.0,-34.0,-69.5,STOP,2.0,108.75
1783431480,2026-07-07,-1,42.31666666666667,0.4065743944636678,-9.179325351616438,CLEAN-TREND,US,-117.5,42.31666666666667,84.63333333333334,29498.5,29541.25,-42.75,-87.0,STOP,0.6,85.0
1783431720,2026-07-07,-1,53.71666666666667,0.0702113156100886,-2.9280878326180706,VIOLENT-WHIPSAW,US,-25.75,53.71666666666667,107.43333333333334,29563.0,29455.57,107.43,213.37,TARGET,11.1,195.5
1783432740,2026-07-07,1,41.333333333333336,0.4889103182256509,4.619893371678022,CLEAN-TREND,US,-126.75,41.333333333333336,82.66666666666667,29470.0,29428.25,-41.75,-85.0,STOP,4.6,35.25
1783433460,2026-07-07,-1,40.16666666666666,0.2142064372918979,-2.928760576466176,BUILDING,US,-48.25,40.16666666666666,80.33333333333331,29391.0,29310.67,80.33,159.17,TARGET,3.4,164.0
1783517160,2026-07-08,-1,19.35,0.0287443267776096,-2.5261848879449067,VIOLENT-WHIPSAW,PRE-OPEN,4.75,19.35,38.7,29177.75,29197.5,-19.75,-41.0,STOP,0.9,7.75
1783517400,2026-07-08,1,24.766666666666666,0.2764786795048143,10.517537145111003,BUILDING,US,50.25,24.766666666666666,49.53333333333333,29255.5,29230.25,-25.25,-52.0,STOP,0.1,143.5
1783517520,2026-07-08,1,30.166666666666668,0.4305239179954442,3.009891186168621,CLEAN-TREND,US,94.5,30.166666666666668,60.333333333333336,29314.25,29283.75,-30.5,-62.5,STOP,0.7,84.75
1783517700,2026-07-08,-1,35.483333333333334,0.4744027303754266,-4.7763637853638095,CLEAN-TREND,US,104.25,35.483333333333334,70.96666666666667,29309.5,29345.25,-35.75,-73.0,STOP,4.1,55.5
1783518180,2026-07-08,-1,51.36666666666667,0.4296520423600605,-2.7888302924448234,CLEAN-TREND,US,142.0,51.36666666666667,102.73333333333333,29345.25,29397.0,-51.75,-105.0,STOP,2.9,100.0
1783518540,2026-07-08,-1,46.266666666666666,0.0122699386503067,-3.254389456102744,VIOLENT-WHIPSAW,US,4.0,46.266666666666666,92.53333333333333,29303.0,29349.75,-46.75,-95.0,STOP,1.2,68.0
1783520400,2026-07-08,1,40.23333333333333,0.1516436903499469,3.31216250522034,VIOLENT-WHIPSAW,US,-35.75,40.23333333333333,80.46666666666665,29302.25,29261.75,-40.5,-82.5,STOP,6.2,71.25
1783603680,2026-07-09,-1,13.566666666666666,0.0408719346049046,-4.414500614499395,NORMAL-CHOP,PRE-OPEN,-3.75,13.566666666666666,27.133333333333333,29748.25,29721.12,27.13,52.77,TARGET,1.1,76.75
1783604040,2026-07-09,1,27.05,0.1914357682619647,7.394069525358059,VIOLENT-WHIPSAW,US,38.0,27.05,54.1,29777.5,29831.6,54.1,106.7,TARGET,2.9,145.5
1783604520,2026-07-09,1,37.81666666666667,0.3526011560693641,3.413448977349145,BUILDING,US,106.75,37.81666666666667,75.63333333333334,29864.75,29826.5,-38.25,-78.0,STOP,5.8,58.25
1783605060,2026-07-09,1,32.6,0.2598290598290598,21.25494807351677,BUILDING,US,76.0,32.6,65.2,29881.25,29848.25,-33.0,-67.5,STOP,17.9,41.75
1783690200,2026-07-10,-1,17.4,0.4721189591078067,-2.722719808096861,CLEAN-TREND,US,63.5,17.4,34.8,29874.5,29892.25,-17.75,-37.0,STOP,0.2,78.0
1783690800,2026-07-10,-1,35.31666666666667,0.1319073083778966,-3.0634324699860715,VIOLENT-WHIPSAW,US,-37.0,35.31666666666667,70.63333333333334,29803.5,29839.25,-35.75,-73.0,STOP,0.3,5.0
1783690920,2026-07-10,1,39.3,0.1502008032128514,4.4657828493646985,VIOLENT-WHIPSAW,US,46.75,39.3,78.6,29863.75,29942.35,78.6,155.7,TARGET,6.3,104.75
1783691520,2026-07-10,1,37.55,0.1916264090177133,3.517629308766681,VIOLENT-WHIPSAW,US,59.5,37.55,75.1,29962.0,29924.0,-38.0,-77.5,STOP,2.1,4.75
1783692900,2026-07-10,-1,26.216666666666665,0.0184921763869132,-3.294121207295899,VIOLENT-WHIPSAW,US,3.25,26.216666666666665,52.43333333333333,29920.5,29947.0,-26.5,-54.5,STOP,1.8,243.0
1783693140,2026-07-10,-1,27.98333333333333,0.194300518134715,-3.3818643110128543,VIOLENT-WHIPSAW,US,-37.5,27.98333333333333,55.96666666666666,29903.75,29847.78,55.97,110.43,TARGET,1.9,226.25
