ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783293000,2026-07-05,-1,9.366666666666667,0.3361702127659574,-2.5644496982825906,BUILDING,OVERNIGHT,-19.75,9.366666666666667,18.733333333333334,29931.0,29940.75,-9.75,-21.0,STOP,1.1,2.25
1783296000,2026-07-06,-1,15.25,0.2415349887133182,-2.785634804127876,BUILDING,OVERNIGHT,-26.75,15.25,30.5,29947.25,29916.75,30.5,59.5,TARGET,0.9,102.25
1783296900,2026-07-06,1,21.3,0.3323485967503692,1.5353544456118549,BUILDING,OVERNIGHT,56.25,21.3,42.6,30001.5,29979.75,-21.75,-45.0,STOP,3.7,3.0
1783297560,2026-07-06,-1,16.383333333333333,0.1908396946564885,-1.9271256626724835,VIOLENT-WHIPSAW,OVERNIGHT,-25.0,16.383333333333333,32.766666666666666,29928.75,29895.98,32.77,64.03,TARGET,2.8,83.75
1783301160,2026-07-06,-1,19.116666666666667,0.4975206611570248,-2.787290612763065,CLEAN-TREND,OVERNIGHT,-75.25,19.116666666666667,38.233333333333334,29797.25,29816.75,-19.5,-40.5,STOP,3.0,46.5
1783307400,2026-07-06,1,13.2,0.5308641975308642,1.9251231365601371,CLEAN-TREND,OVERNIGHT,53.75,13.2,26.4,29774.5,29760.75,-13.75,-29.0,STOP,2.1,32.0
1783311540,2026-07-06,1,9.683333333333334,0.5555555555555556,10.336879791879168,BUILDING,OVERNIGHT,61.25,9.683333333333334,19.366666666666667,29791.5,29781.5,-10.0,-21.5,STOP,7.8,44.25
1783315260,2026-07-06,-1,7.733333333333333,0.2931726907630522,-1.508695183257132,BUILDING,OVERNIGHT,-18.25,7.733333333333333,15.466666666666667,29789.25,29773.78,15.47,29.43,TARGET,7.5,36.75
1783316580,2026-07-06,1,11.316666666666666,0.1123595505617977,2.43433459683958,NORMAL-CHOP,OVERNIGHT,10.0,11.316666666666666,22.633333333333333,29792.25,29780.5,-11.75,-25.0,STOP,2.1,15.75
1783319700,2026-07-06,1,10.183333333333334,0.647887323943662,5.123459797015366,BUILDING,OVERNIGHT,69.0,10.183333333333334,20.366666666666667,29829.25,29849.62,20.37,39.23,TARGET,4.5,31.75
1783323780,2026-07-06,1,7.15,0.4193548387096774,2.5730995100019136,BUILDING,PRE-OPEN,32.5,7.15,14.3,29867.5,29860.0,-7.5,-16.5,STOP,9.6,13.75
1783337520,2026-07-06,1,11.033333333333331,0.3293413173652694,1.738910074219249,BUILDING,PRE-OPEN,27.5,11.033333333333331,22.066666666666663,29895.75,29884.25,-11.5,-24.5,STOP,5.1,14.75
1783340640,2026-07-06,-1,8.8,0.5,-2.5168572233946764,BUILDING,PRE-OPEN,-38.0,8.8,17.6,29880.5,29889.75,-9.25,-20.0,STOP,1.9,1.5
1783344720,2026-07-06,1,26.966666666666665,,2.049996748360245,UNKNOWN,US,0.0,26.966666666666665,53.93333333333333,29912.25,29885.0,-27.25,-56.0,STOP,0.4,96.25
1783344840,2026-07-06,1,29.73333333333333,0.4363636363636363,5.199121094481864,CLEAN-TREND,US,84.0,29.73333333333333,59.46666666666666,29926.0,29896.0,-30.0,-61.5,STOP,0.2,82.5
1783345500,2026-07-06,1,56.55,0.2036441586280814,3.083093487957546,BUILDING,US,95.0,56.55,113.1,29955.25,29898.25,-57.0,-115.5,STOP,1.0,77.0
1783345800,2026-07-06,1,55.16666666666666,0.1628156904889844,1.9494511571631297,VIOLENT-WHIPSAW,US,75.75,55.16666666666666,110.33333333333331,29980.25,29924.75,-55.5,-112.5,STOP,2.1,62.0
1783348320,2026-07-06,1,24.45,0.0674157303370786,2.565925923283835,VIOLENT-WHIPSAW,US,12.0,24.45,48.9,30049.25,30024.5,-24.75,-51.0,STOP,2.7,19.0
1783349400,2026-07-06,1,21.716666666666665,0.1258992805755395,2.6142597086497745,VIOLENT-WHIPSAW,US,17.5,21.716666666666665,43.43333333333333,30059.75,30037.75,-22.0,-45.5,STOP,1.1,1.0
1783354860,2026-07-06,-1,13.3,0.2144846796657381,-1.8335167541894803,BUILDING,US,-19.25,13.3,26.6,30049.25,30022.65,26.6,51.7,TARGET,8.6,48.0
1783355880,2026-07-06,-1,13.216666666666669,0.5170278637770898,-2.687745414752498,CLEAN-TREND,US,-41.75,13.216666666666669,26.433333333333337,30006.0,30019.5,-13.5,-28.5,STOP,0.4,31.5
1783356840,2026-07-06,-1,13.233333333333333,0.2278177458033573,-1.7828850227867767,BUILDING,US,-23.75,13.233333333333333,26.466666666666665,29996.25,30009.75,-13.5,-28.5,STOP,10.7,32.0
1783359720,2026-07-06,-1,16.566666666666666,0.8127853881278538,-2.1384181658920425,CLEAN-TREND,US,-89.0,16.566666666666666,33.13333333333333,29886.5,29903.5,-17.0,-35.5,STOP,1.0,4.5
1783361160,2026-07-06,1,14.883333333333333,0.1392405063291139,2.6243120537565106,NORMAL-CHOP,US,16.5,14.883333333333333,29.766666666666666,29945.0,29974.77,29.77,58.03,TARGET,9.0,54.75
