ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe,far_depletion,imb_signed
1784160120,2026-07-16,1,13.633333333333333,0.2892156862745098,3.9265475120346633,BUILDING,OVERNIGHT,29.5,20.45,40.9,29737.75,29716.75,-21.0,-43.5,STOP,13.6,27.5,0.49765625,-0.0033434117107825623
1784161560,2026-07-16,-1,17.05,0.3777777777777777,-2.974051423321342,BUILDING,OVERNIGHT,-51.0,25.575000000000003,51.150000000000006,29676.5,29625.35,51.15,100.8,TARGET,18.0,74.75,0.49810052600818233,-0.0654639149866326
1784169780,2026-07-16,-1,10.216666666666669,0.1726907630522088,-3.777175359086463,NORMAL-CHOP,OVERNIGHT,-10.75,15.325000000000005,30.65000000000001,29678.75,29694.5,-15.75,-33.0,STOP,4.4,6.75,0.48270089285714285,0.012133320610419614
1784173500,2026-07-16,-1,10.466666666666669,0.2781456953642384,-4.225871057699554,BUILDING,OVERNIGHT,-21.0,15.700000000000005,31.40000000000001,29712.5,29728.75,-16.25,-34.0,STOP,8.2,16.75,0.4850709740577582,0.006804954982478805
1784175660,2026-07-16,-1,10.183333333333334,0.27,-2.336405819531077,BUILDING,OVERNIGHT,-27.0,15.275,30.55,29714.0,29729.75,-15.75,-33.0,STOP,50.0,18.25,0.4980947196516059,0.0245396460465296
1784178780,2026-07-16,1,10.066666666666666,0.3865814696485623,2.054188143132702,BUILDING,OVERNIGHT,30.25,15.1,30.2,29741.75,29771.95,30.2,58.9,TARGET,11.6,54.75,0.5412916887241926,-0.14172404495591764
1784179800,2026-07-16,1,11.433333333333334,0.2348284960422163,10.8519099864926,BUILDING,OVERNIGHT,22.25,17.15,34.3,29781.5,29764.0,-17.5,-36.5,STOP,0.6,3.0,0.4369747899159664,0.1122959670404934
1784180040,2026-07-16,-1,13.983333333333333,0.2747252747252747,-2.5149794225662103,BUILDING,OVERNIGHT,-37.5,20.975,41.95,29711.5,29669.55,41.95,82.4,TARGET,1.1,65.5,0.44341763942931256,0.06567895618746872
1784181600,2026-07-16,1,12.283333333333331,0.3333333333333333,3.2730006710520736,BUILDING,OVERNIGHT,29.75,18.425,36.85,29725.25,29706.5,-18.75,-39.0,STOP,1.9,23.5,0.4416861046317894,0.13459674275434144
1784189460,2026-07-16,-1,15.7,0.4036511156186612,-2.096111034357409,CLEAN-TREND,PRE-OPEN,-49.75,23.55,47.1,29502.75,29527.0,-24.25,-50.0,STOP,8.3,24.75,0.44919508395360913,0.06176964402392346
1784195040,2026-07-16,-1,10.033333333333331,0.3774834437086092,-2.041514933063609,BUILDING,PRE-OPEN,-28.5,15.049999999999995,30.099999999999994,29584.25,29554.15,30.1,58.7,TARGET,11.7,74.25,0.4977096195976897,-0.0016785351760692303
1784202540,2026-07-16,-1,19.98333333333333,0.4735294117647058,-44.40553465508359,CLEAN-TREND,PRE-OPEN,-80.5,29.974999999999994,59.94999999999999,29384.25,29414.75,-30.5,-62.5,STOP,0.8,21.0,0.4838835710099629,0.016763368402892186
1784208600,2026-07-16,1,18.48333333333333,0.4500941619585687,3.361712034897824,CLEAN-TREND,US,59.75,27.724999999999994,55.44999999999999,29507.75,29479.75,-28.0,-57.5,STOP,0.2,21.75,0.49706457925636005,0.03503513897522456
1784208840,2026-07-16,-1,28.75,0.1118279569892473,-2.6638973473670817,VIOLENT-WHIPSAW,US,-26.0,43.125,86.25,29431.75,29345.5,86.25,171.0,TARGET,7.0,174.0,0.505488894562165,-0.04725785386013473
1784209680,2026-07-16,-1,43.41666666666666,0.6815286624203821,-3.193167636170901,CLEAN-TREND,US,-187.25,65.12499999999999,130.24999999999997,29284.0,29349.5,-65.5,-132.5,STOP,3.6,26.25,0.5153546185717768,-0.0031752713366811256
1784210700,2026-07-16,1,44.11666666666667,0.458008658008658,3.142861636083101,CLEAN-TREND,US,132.25,66.175,132.35,29426.25,29401.25,-25.0,-51.5,TIME,60.0,82.75,0.5016042780748663,-0.017596050127183842
1784215500,2026-07-16,1,25.25,0.1948717948717948,2.08965789650454,VIOLENT-WHIPSAW,US,38.0,37.875,75.75,29425.25,29387.0,-38.25,-78.0,STOP,2.8,41.0,0.4576989995650283,0.04340510121167174
1784223600,2026-07-16,-1,19.45,0.2145110410094637,-7.03097084931461,BUILDING,US,-34.0,29.175,58.35,29252.25,29281.75,-29.5,-60.5,STOP,39.3,54.5,0.4249094720792834,0.10215426926537466
1784227200,2026-07-16,-1,19.216666666666665,0.4990791896869245,-4.42535386220839,CLEAN-TREND,US,-67.75,28.825,57.64999999999999,29205.5,29234.75,-29.25,-60.0,STOP,2.1,88.25,0.46118180921377133,0.06678141662101346
1784228820,2026-07-16,-1,20.216666666666665,0.1850828729281768,-2.858867286139986,VIOLENT-WHIPSAW,US,-33.5,30.325,60.64999999999999,29192.25,29131.6,60.65,119.8,TARGET,18.2,113.25,0.5484735381376208,-0.053986742158327904
1784231700,2026-07-16,1,23.2,0.2948557089084065,4.094619402611366,BUILDING,US,58.75,34.8,69.6,29200.75,29165.5,-35.25,-72.0,STOP,18.9,34.25,0.5315060751624753,-0.07893929292818556
1784244720,2026-07-16,-1,10.066666666666666,0.627906976744186,-2.283597944141704,BUILDING,OVERNIGHT,-47.25,15.1,30.2,29071.5,29087.0,-15.5,-32.5,STOP,1.5,65.5,0.46625222024866786,0.09590102186017481
