ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783296060,2026-07-06,-1,15.783333333333331,0.5750487329434698,-3.805160362678636,CLEAN-TREND,OVERNIGHT,-73.75,15.783333333333331,31.566666666666663,29916.0,29932.25,-16.25,-34.0,STOP,0.7,71.0
1783296900,2026-07-06,1,21.3,0.3323485967503692,1.5353544456118549,BUILDING,OVERNIGHT,56.25,21.3,42.6,30001.5,29979.75,-21.75,-45.0,STOP,3.7,3.0
1783297860,2026-07-06,-1,21.58333333333333,0.7623400365630713,-2.880866123972339,CLEAN-TREND,OVERNIGHT,-104.25,21.58333333333333,43.16666666666666,29892.5,29914.5,-22.0,-45.5,STOP,5.1,17.5
1783301220,2026-07-06,-1,20.066666666666663,0.6014109347442681,-1.7061394620036725,CLEAN-TREND,OVERNIGHT,-85.25,20.066666666666663,40.133333333333326,29794.25,29814.75,-20.5,-42.5,STOP,2.0,43.5
1783307460,2026-07-06,1,12.4,0.827027027027027,1.7066460693881351,CLEAN-TREND,OVERNIGHT,76.5,12.4,24.8,29780.5,29767.75,-12.75,-27.0,STOP,0.7,26.0
1783319820,2026-07-06,1,9.8,0.7156398104265402,2.970748604930707,BUILDING,OVERNIGHT,75.5,9.8,19.6,29839.0,29858.6,19.6,37.7,TARGET,27.4,22.25
1783340940,2026-07-06,1,8.516666666666667,0.4285714285714285,2.5845159110260334,BUILDING,PRE-OPEN,-36.75,8.516666666666667,17.033333333333335,29893.75,29910.78,17.03,32.57,TARGET,6.1,41.75
1783344840,2026-07-06,1,29.73333333333333,0.4363636363636363,5.199121094481864,CLEAN-TREND,US,84.0,29.73333333333333,59.46666666666666,29926.0,29896.0,-30.0,-61.5,STOP,0.2,82.5
1783344960,2026-07-06,-1,39.18333333333333,0.0636042402826855,-3.559527024075932,VIOLENT-WHIPSAW,US,-18.0,39.18333333333333,78.36666666666666,29824.25,29863.75,-39.5,-80.5,STOP,0.1,31.0
1783345320,2026-07-06,-1,55.88333333333333,0.0957055214723926,-5.717021331242397,VIOLENT-WHIPSAW,US,39.0,55.88333333333333,111.76666666666667,29872.75,29929.0,-56.25,-114.0,STOP,2.2,14.0
1783345860,2026-07-06,1,49.583333333333336,0.4229588704726826,1.803984072799004,CLEAN-TREND,US,172.25,49.583333333333336,99.16666666666667,29998.0,29948.0,-50.0,-101.5,STOP,0.9,44.25
1783346040,2026-07-06,-1,45.1,0.1967545638945233,-2.542529531833517,VIOLENT-WHIPSAW,US,72.75,45.1,90.2,29970.75,30016.25,-45.5,-92.5,STOP,16.6,68.75
1783356900,2026-07-06,-1,13.966666666666669,0.3554987212276215,-4.029933450081909,BUILDING,US,-34.75,13.966666666666669,27.933333333333337,29993.25,30007.5,-14.25,-30.0,STOP,1.8,29.0
1783361220,2026-07-06,1,14.833333333333334,0.3973214285714285,1.779215554783028,BUILDING,US,44.5,14.833333333333334,29.666666666666668,29956.25,29985.92,29.67,57.83,TARGET,8.2,43.5
1783365120,2026-07-06,1,11.933333333333334,0.3090909090909091,2.288886905642104,BUILDING,US,25.5,11.933333333333334,23.866666666666667,30023.0,30010.75,-12.25,-26.0,STOP,1.6,29.0
1783366260,2026-07-06,-1,12.566666666666666,0.0034602076124567,-2.186464602823338,NORMAL-CHOP,US,-0.25,12.566666666666666,25.133333333333333,30018.0,30031.0,-13.0,-27.5,STOP,3.0,86.5
1783367700,2026-07-06,-1,17.2,0.3054101221640489,-4.889685817267266,BUILDING,US,-43.75,17.2,34.4,29954.25,29972.0,-17.75,-37.0,STOP,1.3,22.75
1783377660,2026-07-06,1,7.116666666666666,0.1578947368421052,1.507767426042529,DEAD-CHOP,OVERNIGHT,6.75,7.116666666666666,14.233333333333333,29964.25,29956.75,-7.5,-16.5,STOP,1.2,2.0
1783377900,2026-07-06,-1,8.066666666666666,0.25,-1.5997206014047356,BUILDING,OVERNIGHT,-16.5,8.066666666666666,16.133333333333333,29933.25,29917.12,16.13,30.77,TARGET,0.5,44.25
1783378020,2026-07-06,-1,8.733333333333333,0.6313993174061433,1.0013603584975883,BUILDING,OVERNIGHT,-46.25,8.733333333333333,17.466666666666665,29913.75,29922.75,-9.0,-19.5,STOP,0.0,24.75
1783378620,2026-07-06,1,10.583333333333334,0.7205479452054795,1.701558607671367,BUILDING,OVERNIGHT,-65.75,10.583333333333334,21.166666666666668,29897.5,29918.67,21.17,40.83,TARGET,4.8,32.25
1783379520,2026-07-06,1,10.266666666666667,0.2279411764705882,1.633854730628628,BUILDING,OVERNIGHT,15.5,10.266666666666667,20.533333333333335,29911.25,29900.5,-10.75,-23.0,STOP,2.5,2.0
1783380660,2026-07-06,-1,8.783333333333333,0.03862660944206,-1.6110848767138537,DEAD-CHOP,OVERNIGHT,2.25,8.783333333333333,17.566666666666666,29896.0,29878.43,17.57,33.63,TARGET,8.6,62.25
1783381320,2026-07-06,-1,8.066666666666666,0.5246636771300448,-2.914409130847889,BUILDING,OVERNIGHT,-29.25,8.066666666666666,16.133333333333333,29873.5,29882.0,-8.5,-18.5,STOP,1.0,45.75
