ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783293000,2026-07-05,1,9.366666666666667,0.3361702127659574,-2.5644496982825906,BUILDING,OVERNIGHT,-19.75,9.366666666666667,18.733333333333334,29931.5,29950.23,18.73,35.97,TARGET,1.5,78.5
1783296000,2026-07-06,1,15.25,0.2415349887133182,-2.785634804127876,BUILDING,OVERNIGHT,-26.75,15.25,30.5,29947.75,29932.25,-15.5,-32.5,STOP,0.2,57.25
1783296780,2026-07-06,-1,22.05,0.0703448275862069,2.108483360822917,VIOLENT-WHIPSAW,OVERNIGHT,-12.75,22.05,44.1,29975.25,29997.75,-22.5,-46.5,STOP,1.7,130.25
1783297740,2026-07-06,1,18.83333333333333,0.6311605723370429,-2.942731658978124,CLEAN-TREND,OVERNIGHT,-99.25,18.83333333333333,37.66666666666666,29882.75,29863.5,-19.25,-40.0,STOP,0.2,87.0
1783297860,2026-07-06,1,21.58333333333333,0.7623400365630713,-2.880866123972339,CLEAN-TREND,OVERNIGHT,-104.25,21.58333333333333,43.16666666666666,29893.0,29936.17,43.17,84.83,TARGET,10.2,76.75
1783299000,2026-07-06,1,15.866666666666667,0.3763440860215054,-2.3542276837599574,BUILDING,OVERNIGHT,52.5,15.866666666666667,31.733333333333334,29939.0,29922.75,-16.25,-34.0,STOP,1.3,13.0
1783299180,2026-07-06,-1,15.383333333333333,0.1111111111111111,2.7497722531195934,VIOLENT-WHIPSAW,OVERNIGHT,14.75,15.383333333333333,30.766666666666666,29936.75,29905.98,30.77,60.03,TARGET,6.3,95.5
1783301160,2026-07-06,1,19.116666666666667,0.4975206611570248,-2.787290612763065,CLEAN-TREND,OVERNIGHT,-75.25,19.116666666666667,38.233333333333334,29797.75,29778.25,-19.5,-40.5,STOP,0.5,54.25
1783303260,2026-07-06,1,19.016666666666666,0.0131147540983606,-4.099023230359261,VIOLENT-WHIPSAW,OVERNIGHT,-2.0,19.016666666666666,38.03333333333333,29796.5,29777.0,-19.5,-40.5,STOP,8.9,22.25
1783304340,2026-07-06,1,18.3,0.5424836601307189,-3.590106964048836,CLEAN-TREND,OVERNIGHT,-62.25,18.3,36.6,29756.0,29737.25,-18.75,-39.0,STOP,9.1,35.75
1783306260,2026-07-06,1,15.166666666666666,0.3767441860465116,-2.620140402191993,BUILDING,OVERNIGHT,-40.5,15.166666666666666,30.333333333333332,29698.25,29728.58,30.33,59.17,TARGET,7.6,93.5
1783309860,2026-07-06,-1,15.7,0.6028622540250447,2.3909283498824125,CLEAN-TREND,OVERNIGHT,-84.25,15.7,31.4,29717.0,29733.0,-16.0,-33.5,STOP,12.3,23.25
1783311540,2026-07-06,-1,9.683333333333334,0.5555555555555556,10.336879791879168,BUILDING,OVERNIGHT,61.25,9.683333333333334,19.366666666666667,29791.0,29801.0,-10.0,-21.5,STOP,10.4,9.25
1783316160,2026-07-06,-1,11.2,0.2348993288590604,2.0213226960550164,BUILDING,OVERNIGHT,-17.5,11.2,22.4,29771.75,29783.25,-11.5,-24.5,STOP,3.2,5.75
1783316580,2026-07-06,-1,11.316666666666666,0.1123595505617977,2.43433459683958,NORMAL-CHOP,OVERNIGHT,10.0,11.316666666666666,22.633333333333333,29791.75,29769.12,22.63,43.77,TARGET,3.6,30.5
1783319700,2026-07-06,-1,10.183333333333334,0.647887323943662,5.123459797015366,BUILDING,OVERNIGHT,69.0,10.183333333333334,20.366666666666667,29828.75,29839.5,-10.75,-23.0,STOP,1.9,4.25
