ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783293000,2026-07-05,-1,9.366666666666667,0.3361702127659574,-2.5644496982825906,BUILDING,OVERNIGHT,-19.75,14.05,28.1,29931.0,29945.5,-14.5,-30.5,STOP,1.2,30.75
1783296000,2026-07-06,-1,15.25,0.2415349887133182,-2.785634804127876,BUILDING,OVERNIGHT,-26.75,22.875,45.75,29947.25,29901.5,45.75,90.0,TARGET,1.1,102.25
1783297740,2026-07-06,-1,18.83333333333333,0.6311605723370429,-2.942731658978124,CLEAN-TREND,OVERNIGHT,-99.25,28.249999999999993,56.499999999999986,29882.25,29910.75,-28.5,-58.5,STOP,7.1,109.5
1783301160,2026-07-06,-1,19.116666666666667,0.4975206611570248,-2.787290612763065,CLEAN-TREND,OVERNIGHT,-75.25,28.675,57.35,29797.25,29826.25,-29.0,-59.5,STOP,4.0,51.25
1783311540,2026-07-06,1,9.683333333333334,0.5555555555555556,10.336879791879168,BUILDING,OVERNIGHT,61.25,14.525,29.05,29791.5,29820.55,29.05,56.6,TARGET,22.3,49.0
1783316580,2026-07-06,1,11.316666666666666,0.1123595505617977,2.43433459683958,NORMAL-CHOP,OVERNIGHT,10.0,16.975,33.95,29792.25,29774.75,-17.5,-36.5,STOP,3.6,62.75
1783319700,2026-07-06,1,10.183333333333334,0.647887323943662,5.123459797015366,BUILDING,OVERNIGHT,69.0,15.275,30.55,29829.25,29859.8,30.55,59.6,TARGET,29.4,35.0
1783323780,2026-07-06,1,7.15,0.4193548387096774,2.5730995100019136,BUILDING,PRE-OPEN,32.5,10.725000000000001,21.450000000000003,29867.5,29855.75,-11.75,-25.0,STOP,11.6,13.75
1783340640,2026-07-06,-1,8.8,0.5,-2.5168572233946764,BUILDING,PRE-OPEN,-38.0,13.200000000000001,26.400000000000002,29880.5,29894.0,-13.5,-28.5,STOP,3.9,52.25
1783344720,2026-07-06,1,26.966666666666665,,2.049996748360245,UNKNOWN,US,0.0,40.449999999999996,80.89999999999999,29912.25,29871.5,-40.75,-83.0,STOP,3.3,137.75
1783345500,2026-07-06,1,56.55,0.2036441586280814,3.083093487957546,BUILDING,US,95.0,84.82499999999999,169.64999999999998,29955.25,30052.75,97.5,193.5,TIME,60.0,101.75
1783349400,2026-07-06,1,21.716666666666665,0.1258992805755395,2.6142597086497745,VIOLENT-WHIPSAW,US,17.5,32.574999999999996,65.14999999999999,30059.75,30026.75,-33.0,-67.5,STOP,1.8,25.25
1783355880,2026-07-06,-1,13.216666666666669,0.5170278637770898,-2.687745414752498,CLEAN-TREND,US,-41.75,19.825000000000003,39.650000000000006,30006.0,30026.25,-20.25,-42.0,STOP,1.2,92.5
1783356900,2026-07-06,-1,13.966666666666669,0.3554987212276215,-4.029933450081909,BUILDING,US,-34.75,20.950000000000003,41.900000000000006,29993.25,30014.5,-21.25,-44.0,STOP,9.9,111.5
1783359720,2026-07-06,-1,16.566666666666666,0.8127853881278538,-2.1384181658920425,CLEAN-TREND,US,-89.0,24.85,49.7,29886.5,29911.75,-25.25,-52.0,STOP,1.5,4.5
1783361160,2026-07-06,1,14.883333333333333,0.1392405063291139,2.6243120537565106,NORMAL-CHOP,US,16.5,22.325,44.65,29945.0,29989.65,44.65,87.8,TARGET,9.2,64.5
1783365120,2026-07-06,1,11.933333333333334,0.3090909090909091,2.288886905642104,BUILDING,US,25.5,17.9,35.8,30023.0,30004.75,-18.25,-38.0,STOP,2.3,29.0
1783367400,2026-07-06,-1,14.35,0.2882703777335984,-5.092818989901308,BUILDING,US,-36.25,21.525,43.05,29986.25,29943.2,43.05,84.6,TARGET,4.1,54.75
1783376820,2026-07-06,-1,6.033333333333333,0.2955974842767295,-2.964495841792262,BUILDING,OVERNIGHT,-11.75,9.05,18.1,29954.5,29964.0,-9.5,-20.5,STOP,5.4,82.5
1783378380,2026-07-06,-1,9.666666666666666,0.5406976744186046,-2.960843860118477,BUILDING,OVERNIGHT,-46.5,14.5,29.0,29907.75,29922.5,-14.75,-31.0,STOP,9.0,67.75
1783379940,2026-07-06,-1,8.916666666666666,0.6653386454183267,-2.3775637203486863,BUILDING,OVERNIGHT,-41.75,13.375,26.75,29878.0,29891.75,-13.75,-29.0,STOP,3.5,61.5
1783381260,2026-07-06,-1,7.9,0.4177215189873418,-2.5735877090981587,BUILDING,OVERNIGHT,-24.75,11.850000000000001,23.700000000000003,29873.5,29849.8,23.7,45.9,TARGET,8.3,65.5
1783382820,2026-07-07,1,13.816666666666666,0.2837837837837837,3.759644848212997,BUILDING,OVERNIGHT,21.0,20.725,41.45,29879.25,29858.25,-21.0,-43.5,STOP,1.2,37.5
1783383780,2026-07-07,1,17.516666666666666,0.3543307086614173,2.383686570085859,BUILDING,OVERNIGHT,45.0,26.275,52.55,29908.5,29881.5,-27.0,-55.5,STOP,4.2,8.25
1783387260,2026-07-07,-1,14.533333333333331,0.618421052631579,-3.56220962885114,CLEAN-TREND,OVERNIGHT,-47.0,21.799999999999997,43.599999999999994,29773.5,29729.9,43.6,85.7,TARGET,7.6,56.5
1783394160,2026-07-07,-1,11.433333333333334,0.1026392961876832,-3.85003525380576,NORMAL-CHOP,OVERNIGHT,-8.75,17.15,34.3,29740.75,29706.45,34.3,67.1,TARGET,10.6,112.25
1783394880,2026-07-07,-1,12.566666666666666,0.6310160427807486,-2.4058267091666714,CLEAN-TREND,OVERNIGHT,-59.0,18.85,37.7,29703.0,29665.3,37.7,73.9,TARGET,15.1,87.25
1783397100,2026-07-07,1,13.983333333333333,0.323943661971831,2.201700317197324,BUILDING,OVERNIGHT,28.75,20.974999999999998,41.949999999999996,29679.0,29657.75,-21.25,-44.0,STOP,3.7,1.75
1783397820,2026-07-07,-1,12.4,0.3314447592067989,-2.2889830874619403,BUILDING,OVERNIGHT,-29.25,18.6,37.2,29627.75,29646.75,-19.0,-39.5,STOP,13.2,50.25
1783400520,2026-07-07,-1,8.6,0.2650176678445229,-2.4497652247697013,BUILDING,OVERNIGHT,-18.75,12.899999999999999,25.799999999999997,29600.75,29574.95,25.8,50.1,TARGET,22.7,43.25
1783407660,2026-07-07,1,9.116666666666667,0.4113207547169811,2.699980780920735,BUILDING,PRE-OPEN,27.25,13.675,27.35,29698.0,29725.35,27.35,53.2,TARGET,13.3,46.0
1783409700,2026-07-07,-1,10.666666666666666,0.3040935672514619,-2.7030206178727614,BUILDING,PRE-OPEN,-26.0,16.0,32.0,29698.75,29666.75,32.0,62.5,TARGET,19.7,57.5
1783414380,2026-07-07,-1,9.45,0.2592592592592592,-2.3299171654442814,BUILDING,PRE-OPEN,-19.25,14.174999999999999,28.349999999999998,29668.5,29683.0,-14.5,-30.5,STOP,14.8,46.25
