ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783293000,2026-07-05,-1,9.366666666666667,0.3361702127659574,-2.5644496982825906,BUILDING,OVERNIGHT,-19.75,14.05,28.1,29931.0,29945.5,-14.5,-30.5,STOP,1.2,30.75
1783296000,2026-07-06,-1,15.25,0.2415349887133182,-2.785634804127876,BUILDING,OVERNIGHT,-26.75,22.875,45.75,29947.25,29901.5,45.75,90.0,TARGET,1.1,102.25
1783296900,2026-07-06,1,21.3,0.3323485967503692,1.5353544456118549,BUILDING,OVERNIGHT,56.25,31.950000000000003,63.900000000000006,30001.5,29969.25,-32.25,-66.0,STOP,6.4,3.0
1783297740,2026-07-06,-1,18.83333333333333,0.6311605723370429,-2.942731658978124,CLEAN-TREND,OVERNIGHT,-99.25,28.249999999999993,56.499999999999986,29882.25,29910.75,-28.5,-58.5,STOP,7.1,109.5
1783301160,2026-07-06,-1,19.116666666666667,0.4975206611570248,-2.787290612763065,CLEAN-TREND,OVERNIGHT,-75.25,28.675,57.35,29797.25,29826.25,-29.0,-59.5,STOP,4.0,51.25
1783310040,2026-07-06,-1,17.583333333333332,0.5414012738853503,0.2832475910742509,CLEAN-TREND,OVERNIGHT,-85.0,26.375,52.75,29701.75,29731.25,-29.5,-60.5,STOP,4.8,6.5
1783311540,2026-07-06,1,9.683333333333334,0.5555555555555556,10.336879791879168,BUILDING,OVERNIGHT,61.25,14.525,29.05,29791.5,29820.55,29.05,56.6,TARGET,22.3,49.0
1783315260,2026-07-06,-1,7.733333333333333,0.2931726907630522,-1.508695183257132,BUILDING,OVERNIGHT,-18.25,11.6,23.2,29789.25,29766.05,23.2,44.9,TARGET,8.1,36.75
1783319700,2026-07-06,1,10.183333333333334,0.647887323943662,5.123459797015366,BUILDING,OVERNIGHT,69.0,15.275,30.55,29829.25,29859.8,30.55,59.6,TARGET,29.4,35.0
1783322700,2026-07-06,-1,8.083333333333334,0.2216216216216216,0.0081612434530918,BUILDING,PRE-OPEN,-20.5,12.125,24.25,29830.75,29843.25,-12.5,-26.5,STOP,7.5,38.5
1783323780,2026-07-06,1,7.15,0.4193548387096774,2.5730995100019136,BUILDING,PRE-OPEN,32.5,10.725000000000001,21.450000000000003,29867.5,29855.75,-11.75,-25.0,STOP,11.6,13.75
1783325460,2026-07-06,-1,9.85,0.1464646464646464,-0.5229751098671724,DEAD-CHOP,PRE-OPEN,-14.5,14.774999999999999,29.549999999999997,29840.25,29810.7,29.55,57.6,TARGET,1.8,48.0
1783325760,2026-07-06,-1,10.766666666666667,0.5701754385964912,-0.6353148700802645,BUILDING,PRE-OPEN,-65.0,16.150000000000002,32.300000000000004,29802.25,29818.75,-16.5,-34.5,STOP,6.4,10.0
1783331460,2026-07-06,1,6.8,0.1342281879194631,0.9470948906176612,DEAD-CHOP,PRE-OPEN,10.0,10.2,20.4,29869.0,29858.25,-10.75,-23.0,STOP,16.5,17.25
1783356900,2026-07-06,-1,13.966666666666669,0.3554987212276215,-4.029933450081909,BUILDING,US,-34.75,20.950000000000003,41.900000000000006,29993.25,30014.5,-21.25,-44.0,STOP,9.9,111.5
1783359720,2026-07-06,-1,16.566666666666666,0.8127853881278538,-2.1384181658920425,CLEAN-TREND,US,-89.0,24.85,49.7,29886.5,29911.75,-25.25,-52.0,STOP,1.5,4.5
1783367400,2026-07-06,-1,14.35,0.2882703777335984,-5.092818989901308,BUILDING,US,-36.25,21.525,43.05,29986.25,29943.2,43.05,84.6,TARGET,4.1,54.75
1783377000,2026-07-06,-1,6.216666666666667,0.3333333333333333,0.4865649354961181,BUILDING,OVERNIGHT,-13.75,9.325,18.65,29949.75,29959.5,-9.75,-21.0,STOP,1.4,77.75
1783377900,2026-07-06,-1,8.066666666666666,0.25,-1.5997206014047356,BUILDING,OVERNIGHT,-16.5,12.1,24.2,29933.25,29909.05,24.2,46.9,TARGET,7.5,73.75
1783378500,2026-07-06,-1,10.216666666666669,0.8125,0.5778637458475684,BUILDING,OVERNIGHT,-71.5,15.325000000000003,30.650000000000006,29894.25,29910.0,-15.75,-33.0,STOP,4.8,54.25
1783379880,2026-07-06,-1,8.466666666666667,0.6485355648535565,0.34358724113958,BUILDING,OVERNIGHT,-38.75,12.7,25.4,29883.75,29896.75,-13.0,-27.5,STOP,5.5,67.25
1783381560,2026-07-06,-1,9.066666666666666,0.5286195286195287,-1.9023522808486468,BUILDING,OVERNIGHT,-39.25,13.6,27.2,29858.25,29872.25,-14.0,-29.5,STOP,18.6,50.25
1783383660,2026-07-07,1,17.533333333333335,0.2516778523489933,-1.1612677571941048,BUILDING,OVERNIGHT,37.5,26.300000000000004,52.60000000000001,29898.75,29872.0,-26.75,-55.0,STOP,6.8,18.0
1783387260,2026-07-07,-1,14.533333333333331,0.618421052631579,-3.56220962885114,CLEAN-TREND,OVERNIGHT,-47.0,21.799999999999997,43.599999999999994,29773.5,29729.9,43.6,85.7,TARGET,7.6,56.5
1783394160,2026-07-07,-1,11.433333333333334,0.1026392961876832,-3.85003525380576,NORMAL-CHOP,OVERNIGHT,-8.75,17.15,34.3,29740.75,29706.45,34.3,67.1,TARGET,10.6,112.25
1783394880,2026-07-07,-1,12.566666666666666,0.6310160427807486,-2.4058267091666714,CLEAN-TREND,OVERNIGHT,-59.0,18.85,37.7,29703.0,29665.3,37.7,73.9,TARGET,15.1,87.25
1783395900,2026-07-07,-1,13.783333333333331,0.4757281553398058,-1.0081058277953046,CLEAN-TREND,OVERNIGHT,-49.0,20.674999999999997,41.349999999999994,29646.75,29667.75,-21.0,-43.5,STOP,13.1,31.0
1783402020,2026-07-07,-1,12.566666666666666,0.3850267379679144,1.3122205792037451,BUILDING,OVERNIGHT,-36.0,18.85,37.7,29560.75,29580.0,-19.25,-40.0,STOP,1.5,3.25
1783402260,2026-07-07,1,14.166666666666666,0.2458333333333333,-0.2279311950402091,BUILDING,OVERNIGHT,29.5,21.25,42.5,29622.0,29664.5,42.5,83.5,TARGET,9.5,82.25
1783407720,2026-07-07,1,9.966666666666669,0.5705128205128205,1.9610180755851856,BUILDING,PRE-OPEN,44.5,14.950000000000003,29.900000000000006,29711.25,29696.0,-15.25,-32.0,STOP,1.8,32.75
1783408380,2026-07-07,1,14.783333333333331,0.293598233995585,-0.23342426501913,BUILDING,PRE-OPEN,33.25,22.174999999999997,44.349999999999994,29722.25,29699.75,-22.5,-46.5,STOP,21.2,21.75
1783414800,2026-07-07,-1,10.233333333333333,0.5333333333333333,-2.203811762723424,BUILDING,PRE-OPEN,-40.0,15.349999999999998,30.699999999999996,29646.75,29662.5,-15.75,-33.0,STOP,2.8,24.5
