ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783378560,2026-07-06,-1,10.383333333333333,0.8161559888579387,2.080691202709883,BUILDING,OVERNIGHT,-73.25,15.575,31.15,29891.25,29907.25,-16.0,-33.5,STOP,3.1,51.25
1783387620,2026-07-07,-1,13.083333333333334,0.8826979472140762,2.446919172782189,CLEAN-TREND,OVERNIGHT,-75.25,19.625,39.25,29742.75,29762.75,-20.0,-41.5,STOP,7.3,25.75
1783426200,2026-07-07,1,15.066666666666666,0.6842105263157895,-2.1481647680200484,CLEAN-TREND,PRE-OPEN,78.0,22.6,45.2,29701.75,29678.75,-23.0,-47.5,STOP,6.3,6.75
1783469100,2026-07-08,1,19.966666666666665,0.1733333333333333,-3.5284490430791973,VIOLENT-WHIPSAW,OVERNIGHT,29.25,29.949999999999996,59.89999999999999,29360.75,29420.65,59.9,118.3,TARGET,8.4,188.0
1783563060,2026-07-09,1,18.65,0.5070707070707071,-3.770186795094836,CLEAN-TREND,OVERNIGHT,62.75,27.974999999999998,55.949999999999996,29521.0,29576.95,55.95,110.4,TARGET,9.4,57.25
1783584300,2026-07-09,1,12.95,0.2570194384449244,-3.066695892563483,BUILDING,PRE-OPEN,29.75,19.424999999999997,38.849999999999994,29726.75,29707.0,-19.75,-41.0,STOP,7.6,9.25
1783597500,2026-07-09,1,14.866666666666667,0.4796116504854369,-2.201578756219387,CLEAN-TREND,PRE-OPEN,61.75,22.3,44.6,29692.25,29736.85,44.6,87.7,TARGET,38.0,94.25
1783690200,2026-07-10,1,17.4,0.4721189591078067,-2.722719808096861,CLEAN-TREND,US,63.5,26.099999999999998,52.199999999999996,29875.0,29927.2,52.2,102.9,TARGET,5.8,93.5
1783901160,2026-07-13,1,23.08333333333333,0.5819209039548022,-2.954823681461965,CLEAN-TREND,OVERNIGHT,103.0,34.62499999999999,69.24999999999999,29995.25,29960.25,-35.0,-71.5,STOP,12.2,47.25
1783919400,2026-07-13,1,13.233333333333333,0.7365269461077845,-2.080098622535099,CLEAN-TREND,OVERNIGHT,61.5,19.849999999999998,39.699999999999996,29683.0,29662.75,-20.25,-42.0,STOP,5.0,10.5
1783932780,2026-07-13,1,9.016666666666667,0.776,-2.1074469335408805,BUILDING,PRE-OPEN,48.5,13.525000000000002,27.050000000000004,29752.75,29738.75,-14.0,-29.5,STOP,2.0,24.0
1783987140,2026-07-13,1,16.55,0.8708010335917312,-2.5709355103870983,CLEAN-TREND,OVERNIGHT,84.25,24.825000000000003,49.650000000000006,29420.0,29394.75,-25.25,-52.0,STOP,3.4,114.75
1783999800,2026-07-14,1,17.383333333333333,0.3580645161290323,-2.896805480918794,BUILDING,OVERNIGHT,55.5,26.075,52.15,29385.75,29358.75,-27.0,-55.5,STOP,2.4,70.75
1784001180,2026-07-14,1,19.666666666666668,0.391304347826087,-2.809738815486948,BUILDING,OVERNIGHT,54.0,29.5,59.0,29420.75,29391.0,-29.75,-61.0,STOP,16.2,81.75
1784021040,2026-07-14,-1,11.983333333333333,0.2134831460674157,2.126789905250989,BUILDING,PRE-OPEN,-19.0,17.974999999999998,35.949999999999996,29589.75,29608.0,-18.25,-38.0,STOP,18.1,18.0
