ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783290720,2026-07-05,1,17.0,0.3321167883211678,,BUILDING,OVERNIGHT,45.5,25.5,51.0,29957.25,29931.5,-25.75,-53.0,STOP,37.3,52.75
1783293120,2026-07-05,1,12.883333333333333,0.4247787610619469,-0.2997972338187061,CLEAN-TREND,OVERNIGHT,48.0,19.325,38.65,29993.25,29973.5,-19.75,-41.0,STOP,1.1,16.75
1783294260,2026-07-05,1,10.566666666666666,0.1135531135531135,-0.0835465244020533,NORMAL-CHOP,OVERNIGHT,7.75,15.85,31.7,30004.25,29987.75,-16.5,-34.5,STOP,4.4,3.75
1783296000,2026-07-06,-1,15.25,0.2415349887133182,-2.785634804127876,BUILDING,OVERNIGHT,-26.75,22.875,45.75,29947.25,29901.5,45.75,90.0,TARGET,1.1,102.25
1783296900,2026-07-06,1,21.3,0.3323485967503692,1.5353544456118549,BUILDING,OVERNIGHT,56.25,31.950000000000003,63.900000000000006,30001.5,29969.25,-32.25,-66.0,STOP,6.4,3.0
1783297500,2026-07-06,-1,16.116666666666667,0.1016949152542373,0.3053972101402695,VIOLENT-WHIPSAW,OVERNIGHT,-12.0,24.175,48.35,29943.0,29894.65,48.35,95.2,TARGET,3.8,120.25
1783298580,2026-07-06,1,23.416666666666668,0.1134328358208955,0.3281913734492229,VIOLENT-WHIPSAW,OVERNIGHT,19.0,35.125,70.25,29942.5,29907.0,-35.5,-72.5,STOP,16.2,27.25
1783299840,2026-07-06,-1,18.05,0.4688221709006928,0.3932722085672981,CLEAN-TREND,OVERNIGHT,-50.75,27.075000000000003,54.150000000000006,29894.5,29840.35,54.15,106.8,TARGET,19.2,143.75
1783301160,2026-07-06,-1,19.116666666666667,0.4975206611570248,-2.787290612763065,CLEAN-TREND,OVERNIGHT,-75.25,28.675,57.35,29797.25,29826.25,-29.0,-59.5,STOP,4.0,51.25
1783302000,2026-07-06,1,18.883333333333333,0.1439842209072978,-0.234176908899339,VIOLENT-WHIPSAW,OVERNIGHT,18.25,28.325,56.65,29845.25,29816.5,-28.75,-59.0,STOP,2.1,6.75
