ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe
1783293000,2026-07-05,-1,9.366666666666667,0.3361702127659574,-2.5644496982825906,BUILDING,OVERNIGHT,-19.75,14.05,28.1,29931.0,29945.5,-14.5,-30.5,STOP,1.2,30.75
1783296000,2026-07-06,-1,15.25,0.2415349887133182,-2.785634804127876,BUILDING,OVERNIGHT,-26.75,22.875,45.75,29947.25,29901.5,45.75,90.0,TARGET,1.1,102.25
1783296780,2026-07-06,1,22.05,0.0703448275862069,2.108483360822917,VIOLENT-WHIPSAW,OVERNIGHT,-12.75,33.075,66.15,29975.75,29942.25,-33.5,-68.5,STOP,11.9,29.25
1783297740,2026-07-06,-1,18.83333333333333,0.6311605723370429,-2.942731658978124,CLEAN-TREND,OVERNIGHT,-99.25,28.249999999999993,56.499999999999986,29882.25,29910.75,-28.5,-58.5,STOP,7.1,109.5
1783299000,2026-07-06,-1,15.866666666666667,0.3763440860215054,-2.3542276837599574,BUILDING,OVERNIGHT,52.5,23.8,47.6,29938.5,29890.9,47.6,93.7,TARGET,14.1,180.0
1783301160,2026-07-06,-1,19.116666666666667,0.4975206611570248,-2.787290612763065,CLEAN-TREND,OVERNIGHT,-75.25,28.675,57.35,29797.25,29826.25,-29.0,-59.5,STOP,4.0,51.25
1783303260,2026-07-06,-1,19.016666666666666,0.0131147540983606,-4.099023230359261,VIOLENT-WHIPSAW,OVERNIGHT,-2.0,28.525,57.05,29796.0,29738.95,57.05,112.6,TARGET,27.1,112.75
1783306260,2026-07-06,-1,15.166666666666666,0.3767441860465116,-2.620140402191993,BUILDING,OVERNIGHT,-40.5,22.75,45.5,29697.75,29720.75,-23.0,-47.5,STOP,3.9,5.75
1783309860,2026-07-06,1,15.7,0.6028622540250447,2.3909283498824125,CLEAN-TREND,OVERNIGHT,-84.25,23.549999999999997,47.099999999999994,29717.5,29693.5,-24.0,-49.5,STOP,2.3,118.25
1783311540,2026-07-06,1,9.683333333333334,0.5555555555555556,10.336879791879168,BUILDING,OVERNIGHT,61.25,14.525,29.05,29791.5,29820.55,29.05,56.6,TARGET,22.3,49.0
1783316160,2026-07-06,1,11.2,0.2348993288590604,2.0213226960550164,BUILDING,OVERNIGHT,-17.5,16.799999999999997,33.599999999999994,29772.25,29805.85,33.6,65.7,TARGET,24.3,58.0
1783319700,2026-07-06,1,10.183333333333334,0.647887323943662,5.123459797015366,BUILDING,OVERNIGHT,69.0,15.275,30.55,29829.25,29859.8,30.55,59.6,TARGET,29.4,35.0
1783323780,2026-07-06,1,7.15,0.4193548387096774,2.5730995100019136,BUILDING,PRE-OPEN,32.5,10.725000000000001,21.450000000000003,29867.5,29855.75,-11.75,-25.0,STOP,11.6,13.75
1783324800,2026-07-06,-1,5.083333333333333,0.2108108108108108,-5.5451850373459335,BUILDING,PRE-OPEN,-9.75,7.625,15.25,29860.75,29868.75,-8.0,-17.5,STOP,0.0,68.5
1783327080,2026-07-06,1,6.433333333333334,0.1078431372549019,2.3303168543039874,DEAD-CHOP,PRE-OPEN,5.5,9.65,19.3,29816.5,29835.8,19.3,37.1,TARGET,1.3,55.0
1783327920,2026-07-06,1,6.85,0.6190476190476191,2.272150209905728,BUILDING,PRE-OPEN,35.75,10.274999999999999,20.549999999999997,29851.5,29840.5,-11.0,-23.5,STOP,39.7,30.25
1783338240,2026-07-06,-1,8.683333333333334,0.0297872340425531,-2.7899834638921,DEAD-CHOP,PRE-OPEN,1.75,13.025,26.05,29882.75,29896.25,-13.5,-28.5,STOP,1.3,8.0
1783339320,2026-07-06,-1,6.016666666666667,,-2.782024682500008,UNKNOWN,PRE-OPEN,0.0,9.025,18.05,29885.0,29894.5,-9.5,-20.5,STOP,0.1,6.5
1783340640,2026-07-06,-1,8.8,0.5,-2.5168572233946764,BUILDING,PRE-OPEN,-38.0,13.200000000000001,26.400000000000002,29880.5,29894.0,-13.5,-28.5,STOP,3.9,52.25
1783340940,2026-07-06,1,8.516666666666667,0.4285714285714285,2.5845159110260334,BUILDING,PRE-OPEN,-36.75,12.775000000000002,25.550000000000004,29893.75,29919.3,25.55,49.6,TARGET,22.4,41.75
1783344720,2026-07-06,1,26.966666666666665,,2.049996748360245,UNKNOWN,US,0.0,40.449999999999996,80.89999999999999,29912.25,29871.5,-40.75,-83.0,STOP,3.3,137.75
1783345140,2026-07-06,1,50.38333333333333,0.1481246026700572,5.847158120156234,VIOLENT-WHIPSAW,US,58.25,75.575,151.15,29897.5,30048.65,151.15,300.8,TARGET,52.9,159.5
1783348860,2026-07-06,-1,22.683333333333334,0.1062271062271062,-2.455545122491348,VIOLENT-WHIPSAW,US,-14.5,34.025,68.05,30005.5,30040.0,-34.5,-70.5,STOP,2.0,64.25
1783349400,2026-07-06,1,21.716666666666665,0.1258992805755395,2.6142597086497745,VIOLENT-WHIPSAW,US,17.5,32.574999999999996,65.14999999999999,30059.75,30026.75,-33.0,-67.5,STOP,1.8,25.25
1783350060,2026-07-06,1,23.9,0.0379084967320261,2.333095813305819,VIOLENT-WHIPSAW,US,-7.25,35.849999999999994,71.69999999999999,30030.75,29994.5,-36.25,-74.0,STOP,6.2,54.25
1783351320,2026-07-06,1,23.6,0.0325318246110325,2.301865110051841,VIOLENT-WHIPSAW,US,-5.75,35.400000000000006,70.80000000000001,29999.25,30070.05,70.8,140.1,TARGET,8.1,94.75
1783355880,2026-07-06,-1,13.216666666666669,0.5170278637770898,-2.687745414752498,CLEAN-TREND,US,-41.75,19.825000000000003,39.650000000000006,30006.0,30026.25,-20.25,-42.0,STOP,1.2,92.5
1783356900,2026-07-06,-1,13.966666666666669,0.3554987212276215,-4.029933450081909,BUILDING,US,-34.75,20.950000000000003,41.900000000000006,29993.25,30014.5,-21.25,-44.0,STOP,9.9,111.5
1783359180,2026-07-06,-1,16.616666666666667,0.6435185185185185,-2.516356319133527,CLEAN-TREND,US,-69.5,24.925,49.85,29930.0,29955.25,-25.25,-52.0,STOP,33.9,48.25
1783364160,2026-07-06,1,12.166666666666666,0.3186813186813186,2.2332759760252,BUILDING,US,21.75,18.25,36.5,29997.5,30034.0,36.5,71.5,TARGET,21.2,54.5
1783366260,2026-07-06,-1,12.566666666666666,0.0034602076124567,-2.186464602823338,NORMAL-CHOP,US,-0.25,18.85,37.7,30018.0,29980.3,37.7,73.9,TARGET,20.2,86.5
1783367640,2026-07-06,-1,15.9,0.2776769509981851,-2.0681346655126704,BUILDING,US,-38.25,23.85,47.7,29964.75,29939.25,25.5,49.5,TIME,60.0,33.5
1783376100,2026-07-06,1,9.533333333333331,0.0716981132075471,2.462856144946158,DEAD-CHOP,OVERNIGHT,-4.75,14.299999999999997,28.599999999999994,29963.5,29948.75,-14.75,-31.0,STOP,14.0,10.5
