ts,o,h,l,c,vol,flow,nt,z,fwd15
1783288800,29936.75,29980.0,29914.5,29923.0,2282.0,588.0,1463,,-25.0
1783288860,29915.75,29925.25,29904.0,29913.25,2534.0,192.0,1621,,-12.25
1783288920,29912.75,29924.75,29911.0,29918.5,785.0,-144.0,428,,-7.0
1783289220,29916.5,29937.25,29883.0,29916.5,1944.0,1879.0,1192,,13.75
1783289280,29886.25,29897.0,29860.5,29871.25,1904.0,-103.0,1243,,72.0
1783289340,29871.75,29883.25,29870.5,29881.5,859.0,37.0,572,,56.25
1783289400,29879.5,29886.5,29875.0,29879.0,1039.0,126.0,618,,50.5
1783289460,29880.25,29888.75,29879.0,29882.0,741.0,59.0,423,,44.25
1783289520,29881.5,29892.25,29880.5,29891.0,868.0,34.0,505,,35.75
1783289580,29891.0,29900.0,29885.75,29888.5,1111.0,50.0,643,,45.75
1783289640,29887.75,29898.75,29887.75,29896.75,986.0,41.0,525,,41.0
1783289700,29897.0,29902.25,29894.5,29898.0,858.0,-110.0,535,,41.0
1783289760,29898.0,29901.25,29889.75,29901.0,670.0,1.0,401,,45.25
1783289820,29900.0,29923.5,29899.75,29911.5,2214.0,580.0,1264,,40.25
1783289880,29911.5,29912.75,29907.5,29909.0,586.0,-78.0,342,,46.0
1783289940,29909.0,29909.5,29886.25,29900.25,1913.0,-99.0,1092,,51.5
1783290000,29899.75,29936.25,29898.75,29932.5,1742.0,898.0,875,,18.25
1783290060,29931.25,29941.25,29925.75,29927.25,2202.0,-269.0,1391,,18.25
1783290120,29926.25,29938.75,29923.5,29930.25,1167.0,236.0,652,,32.5
1783290180,29930.25,29947.75,29929.25,29943.25,1404.0,-138.0,826,,17.75
1783290240,29943.5,29948.0,29925.75,29937.75,1526.0,-294.0,889,,28.75
1783290300,29938.75,29943.5,29927.25,29929.5,986.0,83.0,565,,31.0
1783290360,29929.75,29932.75,29925.25,29926.25,520.0,70.0,303,,36.0
1783290420,29928.0,29930.0,29920.25,29926.75,857.0,-51.0,458,,41.25
1783290480,29927.25,29935.0,29923.5,29934.25,546.0,65.0,338,,29.25
1783290540,29932.75,29944.0,29932.75,29937.75,1012.0,-184.0,592,,34.5
1783290600,29937.5,29943.0,29934.75,29939.0,617.0,-42.0,358,,36.75
1783290660,29939.75,29950.0,29934.75,29946.25,982.0,137.0,587,,27.5
1783290720,29946.25,29953.5,29942.75,29951.75,774.0,-56.0,438,,21.0
1783290780,29951.5,29959.0,29948.0,29955.0,1247.0,-56.0,686,,19.0
1783290840,29954.5,29957.0,29948.25,29951.75,563.0,27.0,330,-0.2108928905636942,18.5
1783290900,29952.5,29956.25,29949.25,29950.75,519.0,-128.0,263,-0.5846684021909297,15.75
1783290960,29951.0,29951.25,29944.75,29945.5,813.0,-36.0,451,-0.34624085118750764,19.25
1783291020,29945.5,29971.5,29939.5,29962.75,2267.0,221.0,1195,0.30078663885365486,1.75
1783291080,29962.75,29965.5,29958.25,29961.0,602.0,-39.0,360,-0.361851735037338,-3.25
1783291140,29959.75,29967.75,29959.75,29966.5,658.0,19.0,353,-0.20742779411394352,-9.75
1783291200,29967.0,29968.0,29959.5,29960.5,580.0,11.0,354,-0.2252793597748137,-5.0
1783291260,29960.75,29968.5,29957.5,29962.25,865.0,181.0,501,0.22570331292925688,-14.5
1783291320,29961.75,29970.5,29960.5,29968.0,542.0,2.0,317,-0.25508990222543565,-18.0
1783291380,29968.0,29975.0,29962.0,29963.5,745.0,67.0,384,-0.0760137574410741,-17.5
1783291440,29963.5,29973.25,29957.75,29972.25,749.0,-127.0,410,-0.606157032647519,-27.5
1783291500,29972.5,29976.75,29969.5,29975.75,779.0,15.0,412,-0.20428865754205153,-33.5
1783291560,29975.75,29978.5,29970.25,29973.75,710.0,70.0,399,-0.04820576860407938,-20.75
1783291620,29973.0,29979.0,29971.0,29972.75,639.0,-15.0,360,-0.2878966732166718,-14.0
1783291680,29973.5,29977.25,29969.75,29974.0,489.0,-105.0,301,-0.5415462635052434,-24.0
1783291740,29974.5,29976.5,29959.0,29970.25,1005.0,-166.0,557,-0.7095682842028881,-25.25
1783291800,29970.75,29976.5,29962.75,29966.5,613.0,-22.0,403,-0.2809364251216386,-13.75
1783291860,29964.25,29967.5,29960.75,29964.75,437.0,1.0,281,-0.21045184179583226,-17.25
1783291920,29964.5,29967.5,29959.25,29964.5,497.0,33.0,294,-0.11358447061707207,-16.5
1783291980,29961.0,29963.5,29952.75,29957.75,955.0,-308.0,524,-1.1311772207964255,-9.25
1783292040,29961.5,29962.25,29953.75,29956.75,564.0,-14.0,335,-0.22962491435380114,-7.75
1783292100,29956.0,29962.5,29955.25,29955.5,501.0,112.0,293,0.1517810703007823,-23.25
1783292160,29955.75,29955.75,29947.75,29947.75,926.0,20.0,497,-0.1291621844338914,-14.5
1783292220,29948.5,29951.5,29945.75,29950.0,659.0,-156.0,365,-0.6677120120221282,-4.25
1783292280,29949.5,29949.75,29943.5,29946.0,497.0,-18.0,335,-0.2333588979469465,59.25
1783292340,29946.0,29948.25,29941.75,29944.75,546.0,60.0,299,0.011481188138177422,32.75
1783292400,29945.0,29951.25,29936.25,29942.25,936.0,-174.0,568,-0.7232239134317544,50.75
1783292460,29941.25,29954.5,29941.0,29953.0,1158.0,204.0,683,0.478212371849649,47.0
1783292520,29954.25,29961.0,29950.5,29958.75,899.0,207.0,500,0.48272045081378945,42.5
1783292580,29959.25,29960.75,29949.25,29950.0,896.0,510.0,541,1.4461195108722114,46.75
1783292640,29950.5,29953.0,29942.75,29945.0,726.0,-69.0,414,-0.4246949989406094,50.0
1783292700,29947.5,29960.75,29947.25,29952.75,653.0,147.0,387,0.2683556849858144,34.5
1783292760,29952.75,29956.25,29946.5,29947.5,430.0,5.0,230,-0.190369771022507,39.0
1783292820,29947.5,29950.5,29945.0,29948.0,287.0,9.0,154,-0.17586384498236607,37.25
1783292880,29948.0,29951.0,29947.0,29948.5,150.0,-16.0,95,-0.2560840782655296,37.75
1783292940,29948.75,29954.5,29947.0,29949.0,210.0,57.0,123,-0.013914750982035944,35.25
1783293000,29948.75,29948.75,29925.0,29932.25,2049.0,-567.0,1090,-2.082078180134931,50.0
1783293060,29932.0,29935.5,29927.5,29933.25,813.0,-151.0,500,-0.6560987399211505,47.5
1783293120,29933.5,29949.25,29931.75,29945.75,1069.0,69.0,632,0.06560795522070346,40.0
1783293180,29945.0,30008.5,29945.0,30005.25,5595.0,178.0,2944,0.4219356482494613,-12.75
1783293240,30006.0,30006.25,29966.5,29977.5,2509.0,126.0,1445,0.2471727765794184,12.25
1783293300,29978.25,30003.5,29977.5,29993.0,1716.0,219.0,1008,0.5536815811528114,-1.5
