ts,day,hour,side,z,atr,ep,xp,why,pnl,pts
1783403220,2026-07-07,5,-1,3.425284859635723,14.160714285714286,29657.0,29685.571428571428,STOP,-58.642857142855064,-28.571428571427532
1783415340,2026-07-07,9,-1,3.346727649088578,9.875,29674.25,29648.75,TIME,49.5,25.5
1783432740,2026-07-07,13,-1,3.636078218988489,42.46428571428572,29469.5,29300.0,TIME,337.5,169.5
1783449000,2026-07-07,18,1,-6.238343402941238,14.875,29516.25,29486.25,STOP,-61.5,-30.0
1783481040,2026-07-08,3,-1,4.964191708791835,8.964285714285714,29500.5,29518.678571428572,STOP,-37.857142857144936,-18.178571428572468
1783491660,2026-07-08,6,1,-3.3927585111278065,10.857142857142858,29333.0,29311.035714285714,STOP,-45.42857142857247,-21.964285714286234
1783573920,2026-07-09,5,-1,6.917148758213538,17.053571428571427,29571.5,29517.25,TIME,107.0,54.25
1783661460,2026-07-10,5,1,-4.970651609686918,9.267857142857142,29870.5,29851.714285714286,STOP,-39.07142857142753,-18.785714285713766
1783707000,2026-07-10,18,-1,3.253460987326683,10.875,30057.75,30047.25,TIME,19.5,10.5
1783711920,2026-07-10,19,-1,6.053008137239551,10.125,30054.5,30058.25,TIME,-9.0,-3.75
1783713000,2026-07-10,19,-1,4.102585865876351,8.928571428571429,30055.5,30052.0,TIME,5.5,3.5
1783944660,2026-07-13,12,-1,7.17209098527561,13.375,29715.5,29678.0,TIME,73.5,37.5
1783949280,2026-07-13,13,1,-4.049828132598122,12.821428571428571,29709.75,29683.85714285714,STOP,-53.285714285717404,-25.892857142858702
1783970580,2026-07-13,19,1,-5.702733550875157,15.142857142857142,29432.5,29401.964285714286,STOP,-62.57142857142753,-30.535714285713766
1783987200,2026-07-14,0,-1,3.6364681426855903,19.160714285714285,29443.0,29429.25,TIME,26.0,13.75
1784104980,2026-07-15,8,1,-4.454879012681911,10.607142857142858,29917.75,29949.75,TIME,62.5,32.0
1784173560,2026-07-16,3,1,-3.018642544748974,9.892857142857142,29713.25,29732.75,TIME,37.5,19.5
1784283960,2026-07-17,10,1,-3.202920332355109,17.089285714285715,28750.75,28801.75,TIME,100.5,51.0
1785126900,2026-07-27,4,1,-3.2823018697538906,11.607142857142858,28643.0,28642.5,TIME,-2.5,-0.5
1785138360,2026-07-27,7,-1,6.785746767255987,8.910714285714286,28699.75,28686.5,TIME,25.0,13.25
1785159900,2026-07-27,13,-1,3.119002618834112,42.535714285714285,28473.0,28267.25,TIME,410.0,205.75
1785182100,2026-07-27,19,1,-4.074456946609658,20.125,28189.25,28189.75,TIME,-0.5,0.5
1785191760,2026-07-27,22,-1,3.9234031919861887,10.0,28151.25,28146.0,TIME,9.0,5.25
1785234600,2026-07-28,10,1,-5.100176898874993,10.75,27975.5,27953.75,STOP,-45.0,-21.75
1785245400,2026-07-28,13,-1,8.071690871018415,21.089285714285715,27955.25,27725.25,TIME,458.5,230.0
1785317940,2026-07-29,9,-1,3.8014903951169776,12.75,27977.75,28003.5,STOP,-53.0,-25.75
1785402900,2026-07-30,9,1,-3.662686106631568,15.982142857142858,27532.75,27541.75,TIME,16.5,9.0
1785497040,2026-07-31,11,-1,4.843943447239068,12.910714285714286,28567.5,28554.75,TIME,24.0,12.75
1785501600,2026-07-31,12,1,-3.185178031094562,19.517857142857142,28453.5,28526.5,TIME,144.5,73.0
1785739200,2026-08-03,6,1,-5.666403624666988,8.732142857142858,28615.75,28598.035714285714,STOP,-36.92857142857247,-17.714285714286234
1785764940,2026-08-03,13,1,-4.73846138469231,55.517857142857146,28474.25,28611.75,TIME,273.5,137.5
1785796500,2026-08-03,22,1,-4.386609896139964,6.660714285714286,28943.5,28941.0,TIME,-6.5,-2.5
1785799560,2026-08-03,23,-1,3.478917306744912,6.482142857142857,28946.0,28959.214285714286,STOP,-27.928571428572468,-13.214285714286234
1785815940,2026-08-04,3,-1,3.293632142593236,8.607142857142858,28995.5,29012.964285714286,STOP,-36.42857142857247,-17.464285714286234
1785843840,2026-08-04,11,-1,9.016804485482936,11.571428571428571,29202.75,29226.14285714286,STOP,-48.285714285717404,-23.392857142858702
1785866460,2026-08-04,18,1,-3.656017659040614,17.303571428571427,29841.5,29881.0,TIME,77.5,39.5
1785892620,2026-08-05,1,1,-3.3069349808753814,11.732142857142858,29816.5,29863.5,TIME,92.5,47.0
1785895080,2026-08-05,1,-1,3.24841233556286,9.732142857142858,29866.5,29886.214285714286,STOP,-40.92857142857247,-19.714285714286234
1785956760,2026-08-05,19,-1,7.089339502493763,11.857142857142858,29758.5,29726.25,TIME,63.0,32.25
1786007880,2026-08-06,9,1,-3.05680802454497,10.982142857142858,29476.0,29506.0,TIME,58.5,30.0
1786021620,2026-08-06,13,1,-3.311766324659413,14.392857142857142,29358.5,29329.464285714286,STOP,-59.57142857142753,-29.035714285713766
1786022880,2026-08-06,13,1,-6.250369081668306,16.125,29344.5,29312.0,STOP,-66.5,-32.5
1786058400,2026-08-06,23,-1,3.925720259346108,7.642857142857143,29578.25,29593.785714285714,STOP,-32.57142857142753,-15.535714285713766
1786068240,2026-08-07,2,-1,4.655173228277774,11.767857142857142,29542.75,29505.25,TIME,73.5,37.5
1786094700,2026-08-07,9,-1,3.790444867875242,6.589285714285714,29644.75,29623.25,TIME,41.5,21.5
1786102140,2026-08-07,11,-1,3.6273045250330855,6.910714285714286,29652.5,29666.571428571428,STOP,-29.642857142855064,-14.071428571427532
1786110300,2026-08-07,13,-1,6.062450965748835,47.94642857142857,29756.5,29623.75,TIME,264.0,132.75
1786123980,2026-08-07,17,-1,3.457859460920242,13.214285714285714,29744.0,29749.75,TIME,-13.0,-5.75
1786341600,2026-08-10,6,-1,3.3825523057195146,5.821428571428571,29934.25,29946.14285714286,STOP,-25.285714285717404,-11.892857142858702
1786368480,2026-08-10,13,1,-3.615753278517062,13.428571428571429,29796.25,29769.14285714286,STOP,-55.714285714282596,-27.107142857141298
1786368660,2026-08-10,13,1,-4.176650632348828,16.571428571428573,29814.5,29781.10714285714,STOP,-68.2857142857174,-33.3928571428587
1786391640,2026-08-10,19,-1,3.703948769072411,11.660714285714286,29735.75,29743.75,TIME,-17.5,-8.0
1786391700,2026-08-10,19,-1,4.9893284610154085,12.0,29745.75,29746.0,TIME,-2.0,-0.25
1786404060,2026-08-10,23,1,-11.372696316257716,4.5,29719.25,29710.0,STOP,-20.0,-9.25
1786410000,2026-08-11,1,-1,3.49185410978388,7.0,29794.5,29808.75,STOP,-30.0,-14.25
1786424580,2026-08-11,5,1,-3.2170594491034987,4.732142857142857,29839.0,29829.285714285714,STOP,-20.928571428572468,-9.714285714286234
1786427400,2026-08-11,5,1,-3.2883589130978748,6.767857142857143,29795.25,29786.5,TIME,-19.0,-8.75
